frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,105,97,96,97,106,83,92,85,96,96
1,106,98,91,100,108,82,90,82,97,94
2,107,97,96,97,107,86,93,84,97,96
3,108,96,94,97,107,85,92,78,97,94
4,106,98,95,100,107,82,90,83,97,94
5,108,95,94,99,104,84,89,79,97,92
6,108,97,94,95,108,82,91,82,96,93
7,109,98,98,98,105,84,92,82,99,92
8,108,97,93,101,104,85,92,82,98,92
9,107,95,94,101,104,82,94,82,93,93
10,109,97,94,97,104,80,92,78,93,90
11,106,96,93,96,103,82,92,83,94,93
12,108,98,99,98,106,82,92,80,94,92
13,105,97,95,96,104,83,91,81,94,92
14,110,99,95,94,105,82,93,83,96,92
15,108,97,92,99,107,85,89,85,97,93
16,108,93,97,100,105,85,94,83,94,91
17,107,98,95,96,104,84,90,84,95,94
18,104,98,97,98,106,83,93,84,94,93
19,107,99,100,97,105,85,92,82,95,93
20,104,98,98,97,107,85,91,84,93,92
21,106,95,99,96,103,83,92,86,95,92
22,104,95,100,97,104,84,88,84,94,91
23,104,94,98,98,106,84,91,84,94,94
24,107,97,99,98,106,83,88,85,93,93
25,106,93,99,96,105,83,90,84,93,94
26,107,94,96,99,103,82,90,86,95,94
27,109,97,96,97,104,85,85,82,93,93
28,109,93,94,100,106,84,86,84,97,94
29,110,95,95,96,104,83,90,84,96,93
30,108,94,93,97,105,82,88,82,97,93
31,107,97,94,97,108,82,88,81,98,92
32,107,93,95,97,107,84,86,82,100,90
33,108,93,97,96,105,84,88,81,98,93
34,107,95,97,94,107,84,87,79,97,94
35,106,93,94,95,106,82,87,82,99,95
36,106,97,94,96,108,82,87,80,97,93
37,105,92,94,94,105,81,90,81,93,92
38,100,88,92,89,96,82,87,76,87,84
39,97,85,92,91,94,79,87,77,86,83
40,97,87,86,91,94,79,86,73,87,81
41,94,82,85,92,93,79,84,75,84,83
42,98,87,87,90,95,79,83,74,85,82
43,98,88,89,90,94,77,84,71,86,81
44,96,84,90,91,92,78,85,72,87,82
45,97,88,90,90,92,78,86,71,88,80
46,98,85,85,90,96,80,87,74,85,80
47,96,86,83,89,92,77,83,72,86,80
48,97,84,84,90,93,76,82,73,88,80
49,96,84,86,89,92,78,83,71,89,80
50,97,88,86,88,90,75,81,73,88,80
51,95,85,84,88,88,76,80,72,88,81
52,96,86,85,88,88,76,82,71,88,82
53,98,88,84,86,92,79,81,71,92,82
54,95,84,84,91,91,78,85,71,93,83
55,96,86,85,89,93,75,84,74,92,83
56,100,88,89,91,93,78,87,72,96,83
57,100,86,89,91,95,81,87,75,92,82
58,100,90,92,92,98,80,88,81,92,88
59,101,88,89,96,100,80,90,79,91,89
60,102,89,91,99,102,80,88,81,93,90
61,102,95,92,98,104,82,92,82,92,94
62,106,96,91,97,103,82,93,83,96,94
63,107,96,94,100,105,84,95,84,97,92
64,108,94,92,96,104,82,93,83,94,92
65,109,92,93,99,107,81,93,83,95,92
66,110,89,93,98,106,84,90,81,95,94
67,108,93,90,98,106,80,92,82,96,94
68,108,92,93,96,104,83,92,86,93,90
69,108,94,92,95,104,82,91,80,94,90
70,105,93,91,99,102,84,90,82,93,89
71,109,93,94,97,101,84,89,79,94,92
72,107,96,91,96,105,82,92,80,91,90
73,110,93,92,97,103,81,91,83,93,90
74,109,94,94,99,105,80,90,82,96,91
75,105,92,93,98,101,80,90,81,98,89
76,107,92,95,95,102,80,89,82,94,90
77,107,95,92,99,103,81,90,83,93,91
78,106,94,96,99,102,80,89,81,95,89
79,107,93,95,99,101,80,92,82,94,92
80,109,92,96,96,99,82,88,83,94,93
