frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,92.0,89.0,75.0,88.0,85.0,103.0,135.0,97.0,106.0,83.0,92.0,85.0,96.0,96.0,104.0
1,95.0,88.0,76.0,88.0,84.0,103.0,134.0,100.0,108.0,82.0,90.0,82.0,97.0,94.0,104.0
2,94.0,89.0,80.0,87.0,86.0,104.0,135.0,97.0,107.0,86.0,93.0,84.0,97.0,96.0,105.0
3,95.0,91.0,78.0,89.0,86.0,105.0,132.0,97.0,107.0,85.0,92.0,78.0,97.0,94.0,107.0
4,95.0,90.0,75.0,89.0,86.0,105.0,133.0,100.0,107.0,82.0,90.0,83.0,97.0,94.0,106.0
5,96.0,90.0,76.0,88.0,87.0,105.0,131.0,99.0,104.0,84.0,89.0,79.0,97.0,92.0,106.0
6,96.0,90.0,76.0,90.0,86.0,106.0,134.0,95.0,108.0,82.0,91.0,82.0,96.0,93.0,107.0
7,96.0,90.0,77.0,87.0,87.0,107.0,133.0,98.0,105.0,84.0,92.0,82.0,99.0,92.0,106.0
8,97.0,91.0,76.0,87.0,86.0,107.0,132.0,101.0,104.0,85.0,92.0,82.0,98.0,92.0,108.0
9,98.0,92.0,76.0,86.0,84.0,107.0,133.0,101.0,104.0,82.0,94.0,82.0,93.0,93.0,107.0
10,95.0,90.0,77.0,90.0,85.0,108.0,133.0,97.0,104.0,80.0,92.0,78.0,93.0,90.0,107.0
11,99.0,91.0,75.0,89.0,88.0,107.0,132.0,96.0,103.0,82.0,92.0,83.0,94.0,93.0,106.0
12,99.0,90.0,74.0,87.0,89.0,107.0,134.0,98.0,106.0,82.0,92.0,80.0,94.0,92.0,107.0
13,96.0,90.0,76.0,85.0,87.0,108.0,130.0,96.0,104.0,83.0,91.0,81.0,94.0,92.0,105.0
14,94.0,90.0,75.0,87.0,88.0,108.0,132.0,94.0,105.0,82.0,93.0,83.0,96.0,92.0,105.0
15,99.0,89.0,75.0,88.0,88.0,108.0,131.0,99.0,107.0,85.0,89.0,85.0,97.0,93.0,106.0
16,98.0,89.0,76.0,88.0,88.0,109.0,134.0,100.0,105.0,85.0,94.0,83.0,94.0,91.0,108.0
17,94.0,90.0,74.0,88.0,92.0,110.0,134.0,96.0,104.0,84.0,90.0,84.0,95.0,94.0,102.0
18,102.0,89.0,72.0,90.0,87.0,110.0,135.0,98.0,106.0,83.0,93.0,84.0,94.0,93.0,102.0
