frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7
0,77.0,125.0,115.0,99.0,100.0,98.0,71.0
1,77.0,127.0,113.0,99.0,102.0,98.0,68.0
2,79.0,129.0,114.0,96.0,103.0,98.0,73.0
3,74.0,126.0,115.0,95.0,101.0,97.0,71.0
4,77.0,129.0,114.0,96.0,100.0,99.0,70.0
5,79.0,131.0,111.0,99.0,101.0,99.0,70.0
6,77.0,127.0,112.0,96.0,102.0,99.0,73.0
7,76.0,126.0,114.0,95.0,99.0,94.0,73.0
8,78.0,125.0,115.0,94.0,101.0,97.0,74.0
9,82.0,126.0,117.0,97.0,100.0,96.0,72.0
10,78.0,126.0,112.0,97.0,102.0,94.0,71.0
11,84.0,126.0,113.0,95.0,97.0,95.0,72.0
12,79.0,126.0,109.0,98.0,98.0,95.0,72.0
13,79.0,125.0,109.0,98.0,100.0,96.0,72.0
14,78.0,124.0,114.0,100.0,97.0,95.0,75.0
15,81.0,126.0,115.0,100.0,99.0,97.0,76.0
16,80.0,127.0,111.0,97.0,97.0,93.0,76.0
17,79.0,126.0,114.0,100.0,99.0,96.0,74.0
18,76.0,126.0,112.0,99.0,99.0,94.0,76.0
19,76.0,127.0,107.0,100.0,97.0,96.0,77.0
20,77.0,131.0,112.0,102.0,98.0,95.0,78.0
21,77.0,131.0,113.0,99.0,96.0,94.0,76.0
22,79.0,130.0,111.0,98.0,99.0,96.0,77.0
23,78.0,132.0,113.0,97.0,97.0,96.0,74.0
24,77.0,128.0,111.0,98.0,99.0,105.0,77.0
25,78.0,126.0,113.0,98.0,101.0,97.0,76.0
26,78.0,131.0,111.0,97.0,101.0,98.0,77.0
27,76.0,130.0,109.0,94.0,101.0,97.0,77.0
28,79.0,130.0,110.0,92.0,100.0,97.0,79.0
29,76.0,131.0,111.0,100.0,99.0,96.0,78.0
30,79.0,127.0,110.0,101.0,99.0,96.0,79.0
31,77.0,128.0,114.0,98.0,100.0,98.0,79.0
32,78.0,128.0,110.0,97.0,99.0,96.0,81.0
33,78.0,128.0,109.0,96.0,97.0,94.0,82.0
34,76.0,132.0,107.0,101.0,100.0,98.0,79.0
35,77.0,127.0,110.0,100.0,98.0,98.0,81.0
36,80.0,131.0,108.0,99.0,100.0,96.0,81.0
37,77.0,128.0,109.0,100.0,99.0,99.0,82.0
38,79.0,131.0,106.0,97.0,98.0,98.0,82.0
39,79.0,129.0,107.0,92.0,99.0,95.0,80.0
40,75.0,125.0,104.0,100.0,96.0,95.0,77.0
41,76.0,123.0,105.0,96.0,93.0,94.0,78.0
42,72.0,123.0,99.0,94.0,91.0,90.0,76.0
43,71.0,118.0,98.0,91.0,90.0,88.0,76.0
44,72.0,122.0,97.0,89.0,83.0,86.0,76.0
45,76.0,119.0,97.0,91.0,85.0,86.0,74.0
46,73.0,118.0,98.0,88.0,85.0,86.0,74.0
47,68.0,119.0,98.0,88.0,88.0,85.0,75.0
48,69.0,117.0,88.0,89.0,89.0,84.0,77.0
49,70.0,120.0,97.0,87.0,86.0,88.0,77.0
50,68.0,115.0,94.0,86.0,86.0,85.0,78.0
51,71.0,114.0,98.0,86.0,91.0,85.0,79.0
52,68.0,113.0,94.0,88.0,89.0,85.0,79.0
53,68.0,116.0,96.0,119.0,86.0,84.0,79.0
54,70.0,115.0,97.0,90.0,89.0,87.0,78.0
55,68.0,118.0,99.0,90.0,90.0,80.0,78.0
56,72.0,122.0,95.0,90.0,88.0,82.0,78.0
57,71.0,120.0,97.0,94.0,92.0,87.0,83.0
58,71.0,124.0,97.0,98.0,90.0,90.0,83.0
59,74.0,123.0,98.0,97.0,92.0,93.0,83.0
60,74.0,124.0,104.0,97.0,93.0,94.0,84.0
61,78.0,121.0,104.0,94.0,94.0,94.0,84.0
62,76.0,124.0,104.0,97.0,94.0,97.0,84.0
63,79.0,126.0,104.0,102.0,94.0,92.0,85.0
64,76.0,125.0,105.0,94.0,93.0,95.0,86.0
65,77.0,127.0,106.0,98.0,95.0,94.0,90.0
66,75.0,124.0,103.0,97.0,93.0,95.0,89.0
67,72.0,131.0,107.0,95.0,95.0,96.0,89.0
68,75.0,128.0,104.0,93.0,95.0,98.0,88.0
69,74.0,131.0,105.0,93.0,95.0,96.0,91.0
70,77.0,126.0,103.0,94.0,93.0,95.0,90.0
71,69.0,127.0,104.0,93.0,93.0,98.0,91.0
72,75.0,124.0,107.0,93.0,89.0,98.0,91.0
73,73.0,125.0,104.0,93.0,93.0,96.0,92.0
74,76.0,129.0,104.0,94.0,90.0,97.0,92.0
75,72.0,127.0,105.0,93.0,93.0,97.0,91.0
76,73.0,126.0,102.0,93.0,95.0,97.0,93.0
77,75.0,128.0,103.0,94.0,94.0,95.0,92.0
78,76.0,123.0,105.0,95.0,95.0,99.0,92.0
79,75.0,128.0,101.0,93.0,93.0,98.0,91.0
80,75.0,127.0,106.0,93.0,92.0,98.0,91.0
