frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,1.174158865131492,1.1932323039394845,1.1847733549824906,1.1478614129202696,1.2090235801470501,1.1522760009882134,1.1707003510054863,1.1921661661526584,1.159262855544768,1.138913919980418,1.1967716498531227,1.209392047044526,1.1832435819259715,1.2045191753377211,1.1643742264270167
1,1.1760869763874453,1.1912544807264183,1.1827213173469775,1.1455251203934025,1.21025973333869,1.1541412908214896,1.1736455327045163,1.192320463841947,1.1581873517612424,1.1355099391220935,1.1967357958604197,1.2054065835416168,1.1861956967464837,1.2052691077024626,1.1633866881653376
2,1.1749113007620797,1.192995528035647,1.184197888089792,1.1463316358254674,1.2101627875331928,1.15272789340425,1.168666706073617,1.1953568429210009,1.1573839280780116,1.1338592539791115,1.1988397653725753,1.2074608287627295,1.184320264819752,1.2029788629904936,1.1605396618413526
3,1.1788647740383054,1.1933734597515984,1.1840721195516235,1.1484719870964102,1.2075452469949957,1.1530073366787976,1.1709739282510323,1.1907981995960213,1.156078308163359,1.1363428873658108,1.1984081811264748,1.2084725788633275,1.1860251816434935,1.2017410001647355,1.1616634420900032
4,1.1704761864978022,1.195376909175363,1.183320271536147,1.1489934615418553,1.2103392245787723,1.1513442400506682,1.1711984233172354,1.1932362045084643,1.1578577777310344,1.1360854367126407,1.194876193726765,1.2082361577479954,1.182215985323025,1.2045750398823685,1.1643644213147226
5,1.173283452958246,1.1922537809732845,1.1838831901138591,1.145910419104448,1.2109651534948525,1.1495853384410153,1.1719460175453542,1.1889893774251559,1.1538758530026973,1.1357011429117638,1.2001585069932734,1.2067742859250528,1.1789609967230217,1.2037735501336007,1.1617380301066402
6,1.1732874676508736,1.1942655071447612,1.1815090893808107,1.1462683203011752,1.2086972475216322,1.148876336134779,1.1706259998372317,1.1900704741529622,1.1547126692138818,1.1364291415503565,1.1991395612902152,1.210082974443379,1.1858495039171502,1.20383123060587,1.1645954928513866
7,1.1709796423637415,1.1936242804766108,1.180687426327751,1.1483488950920089,1.211309732314845,1.1506532174154633,1.1740482893881485,1.193892708983472,1.1568029894036296,1.1341239740533424,1.1964473566830198,1.2104641523634527,1.1869039598480193,1.205697345387809,1.164061476385635
8,1.174865464816803,1.1956111490494101,1.1821571342422674,1.1476686131180214,1.2087447758900862,1.1518061584203063,1.1728788128309326,1.1942573120676347,1.1567358488506085,1.1369420403236101,1.1985175717715906,1.2082474319170764,1.1848824702570546,1.2030186688634272,1.1644559380573638
9,1.1741144133623451,1.191544980460208,1.181320559710225,1.1478999666832006,1.210915248676944,1.150588728691811,1.1709516641804774,1.1972569809372267,1.1561683534762417,1.1348255583966718,1.198005155316175,1.2119877442487534,1.1843827792241914,1.2040429504371062,1.1602469235180506
10,1.1738511669831402,1.195063490743606,1.1820054153894495,1.1451898122800865,1.2095053637923758,1.152758720464973,1.1735971880419385,1.1964072771418588,1.1574625886449728,1.1346325882703345,1.1948671982351762,1.21081185412106,1.184656716963223,1.2033075512765308,1.1616505454946877
11,1.1735103236123796,1.1927971029195628,1.1838357615619306,1.1448872695979193,1.2074976582203336,1.1558712743990167,1.1702238508425884,1.1954583005259178,1.1560127735834174,1.1366929208627083,1.1948860976739282,1.212567640506783,1.180161177808337,1.205992160882009,1.1636360432878154
12,1.1725977877008134,1.1943327529695105,1.1836819933742013,1.1447951781236292,1.2098870517970377,1.1541787167180613,1.1688994885029185,1.191561287702629,1.1545640110986206,1.1353557100859661,1.1962058173021222,1.2090654506868868,1.1840368788015045,1.2052035840954414,1.1628256296661463
13,1.1728106196587786,1.1912857295884545,1.1812013261444338,1.146323300464562,1.2110669622254586,1.1515123225833923,1.1711648462468924,1.1922940197051584,1.1542012717605148,1.1350051960212195,1.2001366329772314,1.209945741273478,1.1855555212605646,1.2033697449792624,1.1625287783916014
14,1.1741209701702116,1.193410920299228,1.1848703200186856,1.1458946285603624,1.2132761955550444,1.1516471409842233,1.1722170481479592,1.19352554650835,1.158451979708918,1.1379977809842463,1.198380860288934,1.2116905002338396,1.1858059477794973,1.204639828598909,1.1648853505156282
15,1.1755541030326957,1.194809460792378,1.185441469910539,1.1464609618761339,1.209636942808045,1.154382947306973,1.1715940755879939,1.193635302360807,1.158123632644455,1.1362247857050072,1.1988534041459857,1.211236579099855,1.186182899332205,1.2054172939894472,1.164442636429184
16,1.174162999098359,1.1955236502890925,1.1843341123350233,1.1452695362321181,1.2103075845717381,1.152464462751767,1.1702744303064343,1.1929927351217158,1.1583151633280238,1.1375535441321691,1.1982642536205803,1.2109267904821412,1.1862961254131048,1.2044719875765197,1.165122598824947
17,1.175132407696315,1.1937226960661782,1.1848943782051968,1.14419713030191,1.2133827245545226,1.1535055169009287,1.1688881085719374,1.1941596670625547,1.1555225045389619,1.136138370129362,1.1955431294491252,1.208234826298777,1.1859017179221873,1.2054724654004103,1.1620166111297159
18,1.1732949010136653,1.1961736885890801,1.187033559387325,1.1484502374933878,1.2119145981591606,1.1530346848328228,1.173207222775431,1.1946745778133099,1.1581625237811721,1.139001296034426,1.2010582257784879,1.2116867559725002,1.1833489151359773,1.2056589439573964,1.1673869791690639
19,1.1743697134517606,1.1958158402775152,1.1871204182272785,1.1453987840172437,1.2136278580001425,1.1492114189160192,1.1695742708675692,1.191280987403559,1.155608611269545,1.1348845550513234,1.1992909097187836,1.2070533258847982,1.1844767010014812,1.201539621347284,1.1632708180237696
20,1.1743607924154595,1.192419718377357,1.1829288993172682,1.1458204626690405,1.2105686222837029,1.1518534657523987,1.1727900224988799,1.19262702092197,1.1542512971898606,1.1351678940564447,1.200031742510131,1.2122686299185408,1.1855631735143966,1.2051920504879887,1.1628444662169242
21,1.1740737992606713,1.1941420443812936,1.1850663792340803,1.147525220044388,1.2120450780448573,1.151026445339721,1.173947260085824,1.1947433903705236,1.1578262824212897,1.1370964876503291,1.1957763881741201,1.212496114178535,1.1828162321640399,1.2043972276730435,1.1659354612068862
22,1.1724769847650072,1.1944756105151622,1.1852738545157406,1.1440440404993508,1.2115145715312852,1.1501066423208093,1.1719685930498733,1.1922291201578548,1.1553227108855733,1.139290303928041,1.1955942800666375,1.209320712798115,1.1852355140723065,1.2022103990005528,1.1611931394199448
23,1.1730645750039137,1.1948534318193489,1.182543760503677,1.1473184828512828,1.2122304161154362,1.1523117658565476,1.1718843365703864,1.1936906814663044,1.1575858486074182,1.1354847099240468,1.1983606223953585,1.2123046233451236,1.1860565053219552,1.2048010217267575,1.1619817768917866
24,1.1718542933040965,1.1940191474922939,1.1853724703439512,1.1450373721071045,1.212044969275079,1.1509174985994133,1.171985678467672,1.1932441907137008,1.1576690230235045,1.1375226404985155,1.1984626125486038,1.2111362609279939,1.183089574985197,1.2061170926692935,1.1602880671665825
25,1.1733828051003912,1.1920157118362893,1.1843199415407302,1.148137223965787,1.2099349779267325,1.1551271233685256,1.1759521879974484,1.1959487119014307,1.1554523243013284,1.1415122093490817,1.1954530126201133,1.216685126181364,1.1856912256302232,1.2049577056647611,1.1615234582532425
26,1.1745502466712519,1.194746059769013,1.1837240202352326,1.1457385283059536,1.2127880557883466,1.1509995763531813,1.1720861289943263,1.195644243453008,1.1588140618366198,1.137835553816018,1.197815059976628,1.217743025143693,1.1870086654931298,1.2050260312432024,1.1604377167724387
27,1.1729036424943773,1.193096845080633,1.184996796789555,1.1456402659163818,1.2118334515019822,1.1513107503372433,1.171630477123449,1.1964583335944738,1.15729539608272,1.1368281066541799,1.2005998032062615,1.2189344964909279,1.1841255615525574,1.2042433833030957,1.1604451352431444
28,1.172231882569036,1.1924892296214316,1.1826038375238797,1.1486205491745345,1.211539500552121,1.153125010439088,1.1738119197783796,1.192300177542923,1.1558729267635335,1.1373808582131784,1.1965324244169677,1.2149702198810053,1.1847552226579705,1.2044750007682052,1.1613773371844354
29,1.1692558170886922,1.196630182440805,1.187938165484785,1.1489512685147778,1.2136120200809044,1.151781141653271,1.1700158330708779,1.1925264316799569,1.1548736756716578,1.136723787825719,1.201230783140318,1.21479393378476,1.184826581406589,1.2028820285168664,1.1597968271412646
30,1.1709298641946955,1.1954418561318008,1.1841219250558506,1.147265041640478,1.2111861246334739,1.1521424579431097,1.1742716698174982,1.192688673426822,1.1577311439447084,1.1363907813769327,1.1977095904043018,1.213658046016883,1.1863945363534991,1.2040460721139685,1.1558038275262144
31,1.1720805177959246,1.1908864119979032,1.1821458583159106,1.145876220979501,1.2125574395143035,1.151544163223891,1.1714176765812032,1.1938742847004356,1.156538108322811,1.138993261260912,1.194647635611081,1.2171204407323277,1.1843601312568561,1.2016377640259748,1.1607400863779629
32,1.1721774262292683,1.1946584336173596,1.1861057597190916,1.1456341027273356,1.211453418542855,1.1527590176257723,1.171620015736254,1.192890293199669,1.1543359214576339,1.1365308822612332,1.1994444098335484,1.2166321727120248,1.1834603176525675,1.204666391749686,1.1593566167261113
33,1.1710830015784133,1.1965033129764127,1.182840769952728,1.1450513067070656,1.2119541704808134,1.1503171097127052,1.174533011727786,1.193241161579077,1.1547940078940713,1.138160559517967,1.196770716231042,1.214164028851852,1.1844958057653179,1.2046697764952352,1.1620387365821743
34,1.1697734498938448,1.193518280210255,1.1852576988028023,1.146389097043693,1.2113483950029167,1.1512294885048797,1.1767124678007024,1.1924700981833538,1.1565517067134061,1.137551034769075,1.1965699942703756,1.2156246518724976,1.181483498448276,1.2035641280262404,1.1598761233527497
35,1.1706736712986556,1.1930359722222361,1.1803677390417935,1.1411506770755535,1.206728963157839,1.1507066731231907,1.173014543112733,1.1934856085667505,1.1539128990060254,1.1389210639617287,1.1944516616499277,1.221845733541939,1.1797915892680768,1.2013600280908185,1.157245621595332
