frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,33470.54052443385,32435.102287725473,32869.778703002776,31932.56139744033,32960.764344262294,32407.8,32224.16671236633,33518.09907251265,34205.265425531914,34445.53272648461,34402.93116531165,34107.78074141049,33639.07907742998,33819.54858803987,32680.15295001879
1,33943.41692546584,32458.65874587459,32866.707839677336,31937.844344517467,32980.464139344265,32431.05580558056,32237.791837852645,33530.80996621621,34199.75862068965,34460.16364421416,34419.88720173536,34158.12897366031,33678.73950041175,33841.89908637874,32699.24429479985
2,33526.465712581994,32491.708626760563,32911.88569265708,31938.70918544194,32996.50614754098,32441.19766397125,32249.606741573032,33570.00420875421,34250.720212765955,34495.1420552677,34437.56825568798,34160.48007246377,33666.35659340659,33842.64842454395,32705.984257871063
3,33512.30322003578,32502.30442438917,32922.97631645251,31981.09601386482,33011.734375,32454.28904847397,32253.35802469136,33576.055391120506,34238.17029177719,34485.90375485542,34440.266522210186,34141.572270049845,33676.62758051197,33871.17225672878,32713.269996244835
4,33545.834026128265,32507.08784676354,32938.71943534157,31973.896121883656,33020.91214139344,32451.01981981982,32256.233955019197,33587.12346723044,34238.71762208068,34504.053085886924,34448.04888647474,34185.22448057814,33673.149504405286,33853.07086614173,32722.255255255255
5,33541.76966626937,32504.865067136252,32931.49382716049,31992.260524499656,33012.86091188525,32491.106980961016,32267.199506037323,33580.730964467,34276.3769883351,34505.717682663206,34469.08884073673,34167.61025408348,33696.520506468485,33862.16285832987,32724.85548048048
6,33581.01074306177,32531.04377474703,32949.52267002519,32003.717293752157,33047.50409836065,32481.968440036067,32296.218835804502,33611.30983537358,34296.11777188329,34532.91918755402,34475.28160607705,34201.08794197643,33716.20732378855,33905.546208039785,32760.1768018018
7,33595.43010113028,32529.596572181938,32968.50768842954,31993.809556786702,32522.468611847922,32490.04394618834,32293.4424608624,33600.0730265935,34296.16180371353,34537.9014693172,34515.01730665225,34222.03171726326,33715.30176211454,33906.80033140017,32783.06339084771
8,33591.81899374814,32581.153812252094,33012.636432350715,32063.41701244813,33108.20517418033,32559.29712746858,32346.130936041725,33646.377167019025,34322.473656200105,34564.89273356401,34549.45238095238,34220.380779691746,33764.537974683546,33912.3082021541,32782.965504311964
9,33596.90849673202,32562.96170774648,32992.00050403226,32032.933034173282,32511.42381373416,32507.369467028002,32314.62870472009,33620.90866807611,34302.4389596603,34552.03066954644,34510.561451001624,34223.64224332881,33745.611065235345,33902.003731343284,32777.112030075186
10,33617.56216537775,32567.28175214616,32996.5673973293,32080.578346592876,33115.11116803279,32570.525316455696,32364.305791929728,33659.29041789785,34310.54878048781,34577.28207343412,34521.63217768147,34248.166289080196,33754.914419372595,33943.91822332918,32796.714446529084
11,33605.15162347334,32576.81010989011,32986.49697428139,32037.67105263158,32526.930760164996,32529.618834080717,32319.067819879187,33636.38620981388,34326.090281465746,34563.97449200173,34534.65745257452,34234.44132306298,33767.745870044055,33930.770505385255,32801.40255831452
12,33621.17745302714,32560.654929577464,33017.77914882901,32073.841231407816,32554.541838538596,32556.280323450133,32346.80785067252,33674.23594080338,34322.46946362188,34602.60017271157,34544.00704225352,34242.645804988664,33774.00137627305,33949.597844112766,32802.4988730278
13,33643.2577962578,32577.18401937046,33001.35795311318,32074.717895465557,33097.84144467213,32549.43823264202,32348.77820372399,33662.146424037244,34347.973488865326,34577.708423326134,34578.274106175515,34245.07566832805,33775.489953206714,33947.633802816905,32804.84021005251
14,33623.12124814265,32583.55284015852,33016.997481108316,32085.19514731369,32563.455483490565,32549.415077202542,32368.82,33656.59221658207,34344.858660998936,34589.09792924935,34559.94420368364,34294.36565473493,33769.781232801324,33949.14173228347,32814.04091591592
15,33654.16577221228,32600.432277924363,33019.12840565086,32079.36951261666,33115.42955942623,32556.07450628366,32364.70789906747,33665.729809725155,34345.189920424404,34605.845088706184,34561.73463839043,34283.94920634921,33792.17263215859,33959.436800663076,32824.6996996997
16,33621.44632768362,32595.219630281692,33025.87528344671,32094.676134395566,33140.467469262294,32556.1650135257,32370.981888035127,33674.68303004655,34352.93707033316,34618.36430423509,34583.64123376623,34273.160180995474,33791.88561190739,33959.61608623549,32821.06252354049
17,33637.20321332937,32589.42693661972,33028.991433610485,32050.793270898368,33123.817366803276,32577.92383512545,32352.4718483933,33671.22471434617,34343.22587486744,34616.93909287257,34575.89935064935,34259.502492070686,33785.12279735683,33973.17707902358,32824.396318557476
18,33651.55307760928,32593.724471830985,33047.82212144117,32102.02560553633,33141.647540983606,32579.339963833634,32377.03017004937,33699.68032094595,34351.67284277396,34609.43647363872,34585.686753528775,34287.06552191595,33789.133461750134,33982.152155887234,32818.43473368342
19,33656.572323292574,32599.275846898374,33036.35678265255,32080.216683973693,33122.126024590165,32577.88548241659,32371.836578009323,33667.91518987342,34364.34358430541,34620.86873920553,34576.03752039152,34297.85811116132,33795.60913845307,33978.6132505176,32839.328813559325
