frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,5198.418659239622,7666.8895155532155,6176.613049574546,7212.0460099670745,,6039.131297709926,6145.740264377855,6128.5711402533125,6940.682722616235,7116.26230457129,6271.240551860064,5799.144790504404,7887.603462252555,6856.790121637547,5211.58568634485
1,,7722.520115914031,6235.2457685700865,7228.431774885521,,6013.4366186618645,6081.352162147356,6214.074244310104,6994.982120051085,7266.797894247378,6153.20279826464,5710.391859673029,7861.836499588251,6861.125107169646,5391.648562343005
2,5174.190853074571,7710.627438813208,6203.866884662508,7236.60424739388,,6031.615768864573,6090.676722993896,6115.314940181961,6996.184896723098,7276.941278065635,6179.299091250796,5746.700778600061,7891.119969093408,6955.4644786818535,5246.203977423054
3,5115.807891075332,7743.915087805952,6215.877850214158,7269.112941359064,,6066.0417207568025,6089.279770584235,6055.538668285437,7039.256178811047,7317.263987080063,6233.213069626552,5817.996151002786,7907.58615994604,6926.596338312542,5222.707781532943
4,5193.5826405384,7664.258927430004,6210.955822390388,7332.045483955757,,6107.377126745065,6155.202552917312,6177.284696034862,7015.833848507558,7278.753365725977,6214.446063020208,5815.068997682734,7847.448980443201,6910.612060687541,5260.73350878969
5,5217.123190873484,7670.598347497897,6243.3019843578295,7309.29332165419,,6014.885500241991,6128.480181462677,6043.621976709466,6937.365658723727,7229.477285890251,6206.635649059186,5720.553011222641,7914.7085011651,6740.165141670128,5258.78496895772
6,5134.836972674268,7688.527653824396,6224.793119448499,7322.007897087537,,6115.588811872327,6078.627318041654,6145.36026771921,7017.038944534615,7214.359293458641,6122.574064026041,5805.495391356904,7809.557827726603,6946.17736919599,5234.373759995953
7,5192.250311240852,7737.386478665518,6164.667569302415,7278.025029679466,6585.501237398312,6051.421170090729,6027.076623107063,6275.038084517611,7013.60115924944,7196.7820749866005,6227.161640716171,5809.0735458946365,7798.311874249099,6874.830816140813,5321.729712600565
8,5177.351990707823,7622.520984495874,6144.551067649285,7363.59813906702,,5978.99518022373,6030.775313958275,6075.142832980971,6926.548241610115,7184.863516435988,6238.078869047618,5760.0775536415895,7809.862025316455,6902.445896206555,5234.464728246174
9,5285.69676642587,7587.9969699394715,6197.77151669313,7412.112767353432,6617.87769380353,6062.735796129891,6060.652545279911,6128.891331923893,7000.75363293229,7268.587164848468,6322.830301575697,5822.588525901956,7908.999621787552,6871.367236398648,5240.060012935566
10,5255.963607818128,7630.6108098373115,6212.7607276706985,7348.512562498036,,6020.541847723409,6043.818239078028,5989.600671211061,6987.160174736076,7112.749773699637,6182.745373338934,5785.444237235592,7854.408657550484,6795.455760410659,5361.4787352891
11,5233.340684218965,7760.315940530061,6246.123538539119,7195.211300309595,6572.983381249145,6036.753258942543,6080.970641659274,6124.871215928695,6927.7358054907745,7220.968904224683,6215.706183789116,5784.379729568602,7818.026857228673,6889.0163798606445,5242.707331795369
12,5227.541139937683,7582.105401001052,6244.2366406446745,7258.324182126016,6619.306646309891,6026.44486738956,6083.827808242204,6085.274059196621,7089.3246540251785,7223.26521190381,6236.9827536648445,5787.580999135047,7689.082593192594,6936.474736532393,5252.413214884291
13,5227.695571617849,7649.168439645935,6272.222357767649,7232.2597164747385,,6115.48600978222,6084.173409179239,6101.7359289039305,7016.713078298853,7252.514506610169,6279.654465253057,5788.008542198266,7868.830657480306,6752.751443084737,5440.745996844038
14,5228.817213395814,7718.324209021808,6286.018225697968,7195.419667501123,6499.769516509434,6045.740478353011,6043.029206349209,6114.6177834179325,7055.694530490422,7311.207265555844,6185.484367744932,5691.592240001912,7926.603382583293,6834.655015684009,5291.296162735765
