frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,139.0,0.0,141.0,112.0,125.0,122.0,96.0,118.0,115.0,131.0
1,140.0,0.0,147.0,115.0,119.0,124.0,94.0,119.0,116.0,131.0
2,141.0,0.0,144.0,115.0,120.0,119.0,95.0,121.0,117.0,133.0
3,139.0,0.0,143.0,117.0,126.0,122.0,97.0,117.0,118.0,133.0
4,146.0,0.0,142.0,120.0,125.0,123.0,98.0,115.0,115.0,128.0
5,142.0,0.0,139.0,110.0,120.0,119.0,97.0,118.0,115.0,132.0
6,139.0,0.0,142.0,120.0,123.0,121.0,96.0,120.0,116.0,132.0
7,139.0,0.0,142.0,116.0,125.0,119.0,97.0,119.0,116.0,131.0
8,140.0,0.0,139.0,109.0,116.0,124.0,93.0,121.0,116.0,132.0
9,139.0,0.0,140.0,115.0,123.0,119.0,97.0,117.0,118.0,131.0
10,139.0,0.0,144.0,113.0,123.0,120.0,95.0,117.0,119.0,132.0
11,143.0,0.0,142.0,116.0,114.0,116.0,97.0,121.0,120.0,136.0
12,142.0,0.0,144.0,117.0,124.0,120.0,98.0,119.0,119.0,138.0
13,142.0,0.0,138.0,112.0,123.0,119.0,93.0,120.0,118.0,133.0
14,142.0,0.0,144.0,118.0,121.0,123.0,99.0,120.0,120.0,136.0
15,138.0,0.0,144.0,114.0,121.0,120.0,94.0,119.0,120.0,134.0
16,141.0,0.0,141.0,120.0,125.0,119.0,99.0,119.0,120.0,133.0
17,141.0,0.0,133.0,124.0,118.0,117.0,97.0,118.0,119.0,134.0
18,138.0,0.0,140.0,111.0,123.0,119.0,99.0,125.0,118.0,136.0
19,136.0,0.0,142.0,114.0,125.0,120.0,98.0,121.0,121.0,136.0
20,141.0,0.0,144.0,117.0,124.0,120.0,99.0,120.0,119.0,138.0
21,139.0,0.0,142.0,118.0,116.0,117.0,97.0,120.0,114.0,139.0
22,135.0,0.0,143.0,116.0,120.0,117.0,93.0,119.0,120.0,136.0
23,138.0,0.0,146.0,118.0,119.0,121.0,96.0,122.0,120.0,134.0
24,140.0,0.0,144.0,120.0,124.0,119.0,97.0,120.0,118.0,136.0
25,144.0,0.0,139.0,117.0,123.0,121.0,95.0,119.0,120.0,135.0
26,141.0,0.0,141.0,121.0,123.0,115.0,95.0,124.0,120.0,137.0
27,136.0,0.0,143.0,121.0,122.0,120.0,96.0,121.0,125.0,141.0
28,142.0,0.0,141.0,116.0,119.0,120.0,96.0,120.0,122.0,137.0
29,141.0,0.0,143.0,123.0,122.0,118.0,97.0,117.0,123.0,133.0
30,137.0,0.0,144.0,119.0,124.0,117.0,94.0,119.0,123.0,139.0
31,141.0,0.0,147.0,124.0,120.0,121.0,94.0,120.0,122.0,138.0
32,145.0,0.0,143.0,121.0,124.0,120.0,96.0,119.0,122.0,137.0
33,135.0,0.0,143.0,124.0,120.0,120.0,95.0,118.0,118.0,136.0
34,140.0,0.0,143.0,124.0,122.0,117.0,98.0,119.0,119.0,132.0
35,141.0,0.0,144.0,114.0,121.0,119.0,96.0,118.0,127.0,138.0
36,139.0,0.0,141.0,115.0,123.0,116.0,94.0,122.0,121.0,136.0
37,143.0,0.0,141.0,116.0,120.0,121.0,95.0,116.0,119.0,139.0
38,133.0,0.0,139.0,120.0,124.0,121.0,96.0,120.0,114.0,138.0
39,134.0,0.0,138.0,120.0,117.0,117.0,100.0,120.0,121.0,133.0
40,134.0,0.0,143.0,122.0,122.0,115.0,95.0,117.0,119.0,136.0
41,138.0,0.0,143.0,113.0,117.0,119.0,99.0,118.0,117.0,134.0
42,135.0,0.0,142.0,117.0,111.0,120.0,95.0,118.0,127.0,140.0
43,141.0,0.0,136.0,122.0,119.0,117.0,96.0,121.0,121.0,136.0
44,137.0,0.0,143.0,117.0,119.0,118.0,96.0,120.0,118.0,134.0
45,142.0,0.0,141.0,121.0,118.0,118.0,94.0,118.0,117.0,130.0
46,141.0,0.0,143.0,124.0,122.0,114.0,98.0,117.0,117.0,136.0
47,141.0,0.0,143.0,121.0,121.0,115.0,94.0,121.0,128.0,137.0
48,136.0,0.0,140.0,123.0,117.0,118.0,95.0,117.0,113.0,138.0
49,136.0,0.0,141.0,123.0,119.0,118.0,95.0,117.0,111.0,134.0
50,137.0,0.0,141.0,120.0,122.0,117.0,95.0,114.0,117.0,137.0
51,138.0,0.0,142.0,125.0,123.0,116.0,95.0,117.0,125.0,138.0
52,141.0,0.0,138.0,123.0,118.0,113.0,94.0,120.0,116.0,138.0
53,142.0,0.0,142.0,122.0,121.0,116.0,95.0,118.0,109.0,141.0
54,137.0,0.0,142.0,121.0,122.0,119.0,97.0,118.0,121.0,138.0
55,135.0,0.0,142.0,121.0,120.0,115.0,94.0,115.0,122.0,138.0
56,136.0,0.0,142.0,123.0,126.0,121.0,98.0,113.0,126.0,138.0
57,139.0,0.0,143.0,123.0,118.0,118.0,96.0,122.0,120.0,138.0
58,138.0,0.0,140.0,123.0,116.0,119.0,96.0,122.0,129.0,138.0
59,139.0,0.0,141.0,124.0,124.0,117.0,95.0,121.0,131.0,137.0
60,139.0,0.0,141.0,122.0,118.0,116.0,96.0,117.0,120.0,139.0
61,133.0,0.0,143.0,121.0,119.0,119.0,97.0,118.0,116.0,138.0
62,139.0,0.0,137.0,124.0,122.0,124.0,95.0,118.0,121.0,137.0
63,144.0,0.0,143.0,120.0,123.0,118.0,97.0,121.0,119.0,138.0
64,137.0,0.0,141.0,120.0,118.0,114.0,96.0,120.0,122.0,139.0
65,137.0,0.0,144.0,124.0,120.0,122.0,96.0,121.0,118.0,136.0
66,138.0,0.0,144.0,124.0,122.0,119.0,94.0,121.0,117.0,139.0
67,142.0,0.0,139.0,122.0,126.0,116.0,95.0,121.0,115.0,133.0
68,143.0,0.0,143.0,123.0,114.0,121.0,94.0,122.0,117.0,140.0
69,137.0,0.0,140.0,123.0,120.0,121.0,96.0,118.0,111.0,138.0
70,136.0,0.0,137.0,122.0,122.0,119.0,96.0,120.0,118.0,141.0
71,134.0,0.0,138.0,123.0,122.0,116.0,96.0,116.0,117.0,140.0
72,139.0,0.0,146.0,120.0,124.0,124.0,94.0,124.0,114.0,138.0
73,138.0,0.0,145.0,123.0,123.0,121.0,99.0,120.0,113.0,141.0
74,136.0,0.0,142.0,121.0,126.0,118.0,94.0,124.0,118.0,140.0
75,139.0,0.0,141.0,122.0,122.0,120.0,95.0,123.0,113.0,133.0
76,145.0,0.0,144.0,126.0,123.0,121.0,92.0,122.0,117.0,137.0
77,143.0,0.0,145.0,121.0,123.0,118.0,95.0,123.0,117.0,140.0
78,138.0,0.0,147.0,120.0,124.0,120.0,95.0,120.0,113.0,138.0
79,144.0,0.0,142.0,122.0,120.0,121.0,96.0,118.0,114.0,140.0
80,134.0,0.0,137.0,121.0,118.0,116.0,91.0,118.0,113.0,138.0
