frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,5297.689152944371,,5284.930683583156,5508.80283123612,5213.558640550553,5856.19997347748,5039.7266185258995,5933.333333333336,4825.943586415749,5510.379735298549
1,5210.550093283582,,5253.194376321197,5453.140615425102,5357.975315126052,5822.578947695671,5069.099152657036,5931.92819227773,4841.434263479234,5510.007786142189
2,5197.581859441918,,5148.451447740117,5298.848933250629,5374.202801083731,5733.840067770085,5013.436468105552,5832.146897773069,4758.113759660162,5425.111349894862
3,5284.658193780408,,5203.35129008922,5378.7633318169865,5270.157142857148,5742.633111470357,5157.8854492720275,5852.690807419531,4833.96162112763,5523.501346290614
4,5178.074709040069,,5179.69771851808,5373.948985507246,5319.677707033312,5706.480060153204,5027.827075806395,5791.985381634608,4673.155052234601,5533.841277841784
5,5244.2870417272425,,5273.824497597496,5538.222590243524,5309.79223275408,5816.534044428372,5174.109759149331,5977.044658900908,4835.913121505051,5614.232879797462
6,5347.950477295944,,5218.966987107833,5495.023188405798,5192.3320047486195,5834.003536465629,5161.109511734285,5980.802578306655,4811.14274658182,5525.232328409678
7,5363.689781089175,,5314.145331246742,5435.904560911586,5242.45039192777,5697.502752157336,5108.609644455224,5850.228627956516,4887.026758895321,5491.139729629926
8,5296.219000933706,,5278.259674007244,5561.257177445201,5447.353339611705,5809.524535528639,5313.8144318904015,5944.591248354569,4741.365547338552,5626.666029852604
9,5310.073678466793,,5226.543972272451,5476.471967518184,5431.6986852938135,5872.056625181722,5216.860330405601,6031.950536461176,4806.106133173125,5598.608660787453
10,5244.163788577436,,5288.293255649714,5497.934215103502,5314.064347088963,5818.532026646171,5270.547849743649,5964.606064739048,4818.911123771541,5636.684629482937
11,5249.616419286667,,5250.6943706496095,5500.384306765303,5364.04197306453,5843.296934865903,5279.134337005336,5989.153116476002,4725.338955522238,5490.434982929997
12,5321.945395449617,,5190.799947145879,5400.060705581258,5255.147781191328,5855.64285165257,5186.715540848927,5921.49191029981,4759.919099843326,5563.131119948761
13,5392.588368287183,,5279.911991953548,5585.756834975371,5310.016453021672,5870.801709081636,5383.0998025190565,6004.856832170706,4831.604157323338,5658.980585275029
14,5317.553646804918,,5321.444194855536,5492.118835168389,5359.345521460666,5811.312887696018,5354.576305536415,5982.503386590193,4744.294415292352,5596.304990332035
15,5397.229506921762,,5339.216395951029,5419.675582398624,5395.334915828149,5855.512849090439,5480.518549476525,6002.851048869095,4922.400424787607,5608.772544967476
16,5269.817384571859,,5306.266625498232,5566.521093749998,5282.653424802105,5897.378044725381,5235.349754032533,5963.258894534025,4854.650324837581,5639.230336158267
17,5366.333179478785,,5390.969687750643,5580.750770049286,5262.422331220623,5919.027274964319,5406.865897333861,6044.3596743594535,4870.553828524418,5765.206101167671
18,5402.314665045098,,5367.5018987341755,5592.171847721696,5308.906839237527,5973.2693433885215,5423.371730870735,5957.701240131581,4827.1645089643935,5651.802044623706
19,5432.538599518022,,5493.073843270817,5521.536705399863,5313.040097457626,5943.1055790417595,5401.03974221267,6073.981632265328,4878.362876033061,5622.81854059035
20,5388.0536158301475,,5327.081175123327,5491.992987828555,5312.233180818977,5829.174186523189,5313.942695028592,5942.144963069346,4854.668138441812,5588.90904419322
21,5371.521407448534,,5427.161845144947,5541.8210066769425,5482.180331585914,5972.706620409961,5461.4676319887585,6193.987094788674,4817.392547118172,5723.876647641024
22,5465.526320688856,,5445.067968029856,5605.733489440401,5428.883968295675,6004.215853798574,5449.787142838861,6153.554215123295,4923.044472152957,5594.340029154955
23,5434.034519104087,,5481.615670073203,5653.536591092525,5465.388495219231,5988.909160919946,5550.03113379814,6072.218005857205,4882.005509745126,5743.946217322016
24,5372.938996138997,,5317.245350753299,5571.519618055558,5365.742369792555,5894.884803786852,5377.446384767412,6153.056411571604,4832.098418247995,5670.279906492644
25,5445.501214790562,,5438.598946462233,5638.692115375372,5373.045142447227,5953.72315479425,5559.558982944436,6190.725667133134,4997.627298850573,5815.515499700778
26,5481.272779159157,,5362.565238870491,5686.773414482726,5377.411558593987,6066.158816564093,5578.314575703669,6148.585355262985,4899.607383808099,5741.012372947138
27,5498.488699906804,,5412.14455539178,5686.064947859013,5254.0954119144735,6034.517051578136,5599.562483373244,6139.954684552649,4889.625542168673,5815.953598894135
28,5488.303079549558,,5434.226317857741,5678.8465726047,5296.629445874285,6080.968879907625,5680.894845617528,6293.028751196827,4958.313037666376,5818.832674956779
29,5437.160593671502,,5400.929892235879,5617.721732862701,5369.975799331798,6013.6375328699,5645.965632999549,6244.578128065019,4957.347811727872,5700.394585385715
30,5561.926102332673,,5463.808844256513,5652.5347818954,5399.901376889393,5979.300740697057,5649.407747860503,6259.363874507966,4973.987492182612,5738.263576340163
31,5413.676756547506,,5392.171699383827,5652.494091621862,5295.720423892104,5966.29794709089,5655.7583634949115,6239.585405553269,4880.777197091091,5845.918137539658
32,5380.692370921341,,5425.156468993235,5608.848814423942,5366.342359842209,5941.353587874131,5612.557204515273,6112.234415177059,4949.588536916061,5703.5404700227955
33,5468.017979813652,,5421.972434327428,5610.076928471248,5380.649104791992,5958.86678214011,5571.615762225156,6228.724484193997,4997.093452576999,5770.900510589447
34,5592.789561975769,,5473.456081768949,5687.5776577840115,5443.28261207365,6097.207467559099,5543.132465606053,6301.202263185834,4950.559499324205,5730.8057900710555
35,5422.528554908702,,5393.989583333336,5609.846752793823,5401.283035027242,5981.292035369661,5377.782305799417,6155.026685012614,4881.806300792145,5727.62774997393
36,5428.137935256833,,5338.021512378604,5469.862493655892,5407.251159146661,6046.875862068962,5599.465573520953,6172.738267075103,4857.770028925617,5677.718390283691
37,5375.5215575556285,,5393.737566196971,5368.190639541819,5480.738441284884,5962.247597078043,5670.495721981177,6150.074029863397,4840.407327966153,5687.601552374137
38,5483.393523935447,,5357.283541221848,5432.6201039861335,5420.8435177784995,6080.394797557259,5695.075564409031,6203.738698536457,4784.192227834632,5641.6866779868
39,5396.980317120775,,5355.161688123277,5388.2447916666715,5555.9866951865915,6030.8101940712295,5585.174948041567,6200.189549993156,4918.508989052483,5772.121241324276
40,5403.232252267255,,5233.263558417282,5349.671484225044,5365.087144772704,5957.203620135551,5708.625949565765,6155.125031525851,4932.700612448367,5723.448401140857
41,5349.161812100938,,5313.049772884609,5347.417939945335,5456.632775216371,6036.637470662485,5503.277538044989,6158.76272923746,4888.022365805169,5678.38936854191
42,5339.125366876309,,5270.884944301506,5336.766841601107,5532.408526080937,5924.649365872399,5697.407659307311,6061.865348399246,4843.01336687227,5700.2977047374225
43,5194.973010933594,,5236.520483193279,5301.819494405187,5343.985141690748,5847.701330446056,5595.686387782203,5991.194352334242,4765.945225161064,5628.023616937797
44,5386.486525013308,,5255.594863667764,5200.273863018563,5428.6994850406045,5988.805514332576,5716.579457171312,6057.378450280397,4838.327692060833,5696.670385240126
45,5333.744595900178,,5237.9047811523415,5398.184447620792,5446.803118786724,5944.7916492829245,5603.477488752833,6086.465385925039,4894.985268328397,5741.3376978190645
46,5236.902361915534,,5182.5606325913395,5276.110481070784,5446.456925173115,5941.033412711222,5667.296228075895,6020.783589043014,4836.4602333793955,5773.898051036733
47,5182.419809518135,,5237.148208896229,5330.257670689636,5495.590447048162,5903.984970230653,5624.272536616714,6048.371039096739,4911.215594424233,5667.845436036325
48,5235.370714207471,,5284.918195488724,5329.604137347233,5405.798296004941,5818.881271316619,5640.602682931938,6066.47315398627,4793.202868599088,5733.568576466387
49,5220.008839975882,,5252.474074657483,5269.845256864712,5429.2524323774705,5930.934631206226,5599.5446897562,5978.148742468824,4921.151748570817,5612.841745120553
50,5332.325692716215,,5273.27743408372,5350.016926632008,5381.867676539761,5801.350200961337,5639.945464057761,6111.204779931031,4762.638441066585,5710.687878941128
51,5326.048213550421,,5194.279637699481,5290.840732957011,5471.3426623008345,6008.518273480302,5546.453154755676,6072.963993453355,4798.536633266536,5687.152478945332
52,5279.468372963289,,5251.99017272186,5397.621169955739,5459.591638060498,5978.284406937186,5553.649849474001,6155.829137648507,4821.88887264597,5704.406548522456
53,5280.017718900817,,5227.073516070021,5316.376686619369,5370.220100743587,5919.774757191626,5504.281301663701,5981.312384903511,4867.647574711598,5603.109900840391
54,5351.0970828411955,,5243.904583785712,5406.619548123388,5426.945395498282,5876.529215138304,5501.623709285748,6099.66690641483,4796.225856672027,5699.697047138645
55,5383.659021367188,,5276.395437036161,5530.2909828871525,5301.87662708883,5859.760497656811,5654.094121029666,6024.358409001892,4942.448518838079,5557.01713388686
56,5516.081635447477,,5434.347807011018,5749.3208719115355,5369.461223052349,5941.917571436286,5639.064023695602,6294.851889207013,4940.274407044795,5791.759504359732
57,5330.665574039722,,5443.728118685325,5592.973154859526,5419.307749202446,6037.876207399306,5678.691401062417,6112.456616285723,4850.766841579207,5783.083154777843
58,5533.734549508466,,5495.579279686561,5735.489631941873,5516.4721527248985,5910.9390845081725,5708.321002386634,6208.0948564311475,4973.4827682824325,5858.853234830225
59,5506.443858508152,,5425.5721439398185,5701.4216089829715,5387.975465817355,6048.525370343028,5736.809214194393,6335.272402113529,4924.340243200735,5925.737188816405
60,5435.274415268625,,5462.344362731339,5655.940326731405,5336.012369750904,5940.690554952758,5631.127639442231,6260.321240225494,4988.696716541977,5786.2006483131845
61,5596.35955030633,,5511.898739928853,5729.617026154676,5432.95438871751,6086.6891531103465,5634.779215442963,6300.110899159838,4993.816936108,5863.467807933819
62,5507.152957792314,,5523.517665154141,5728.934629816307,5351.6234436605155,6075.890995349073,5809.232395103063,6322.858972488029,5015.405859504135,5837.541835475167
63,5590.6942630597005,,5555.732536876756,5750.169049682263,5410.670839020961,6139.4539170506905,5796.166363774348,6364.196552402667,5080.741787624145,5935.176546736897
64,5558.225408937571,,5575.286165534533,5754.369872905831,5444.377438060095,6191.902096114514,5752.232246015934,6261.62554028177,5065.547146524084,5947.913931345298
65,5580.489732586695,,5512.612388419075,5737.514406922044,5369.814135021101,6062.857219419922,5806.015496347936,6348.280035012016,5107.9927016255315,5977.895108351193
66,5510.663224047039,,5513.13153335682,5730.655619959674,5296.545294474803,6005.020001228659,5806.186982038358,6266.656957051891,5046.67227084293,5908.954606994761
67,5604.743541040927,,5579.766699843698,5700.121298656908,5289.914200140949,6069.413336597245,5794.722025740295,6347.235652350631,5122.155546404261,5930.889619588583
68,5511.9893479564125,,5427.323817228731,5656.87550570516,5561.609515094373,6061.406264596262,5761.513618709891,6316.063879983063,5109.890193971027,5808.9661127008585
69,5544.85359953867,,5590.221806100875,5710.686011384234,5431.849925083734,6090.283139795756,5728.440731901355,6290.064732003251,5141.070297162834,5934.39593191084
70,5572.7274683405485,,5578.040738595606,5638.557490793795,5536.277895293497,6063.024264181273,5681.852177804292,6273.542186431405,5140.1834874806445,5904.110496563211
71,5566.3656473333685,,5532.6002504543285,5687.13791157434,5474.161580140913,6056.589501680472,5781.992914677809,6270.671740356818,5122.6300987768045,5904.835197006381
72,5600.162200107014,,5540.1677682708905,5823.612081891581,5516.704173269944,6083.065971099561,5672.291455589322,6306.935371173247,5113.208874203447,5947.615893670205
73,5543.922635561583,,5494.33093236565,5727.822653989249,5464.417215124529,6011.713533574177,5694.33943745392,6273.4614314047285,5041.862267743185,5887.1210228214695
74,5577.945013979497,,5565.190422832042,5810.542262678802,5395.126883399229,6181.117452940714,5719.6781492738955,6289.485382443025,5123.559106255874,5914.728057817883
75,5513.019279703305,,5512.273219933006,5731.540421992526,5459.047565295921,6080.360466307968,5775.375996651674,6245.60350013672,5119.108675915806,5994.210720983436
76,5454.579460094843,,5496.307137834039,5735.914128227447,5478.910466084599,6082.966754681132,5771.541099196635,6322.877875909908,5135.543797021339,5911.895978377528
77,5497.9033442614345,,5578.1091826105985,5810.67543655746,5424.941066573898,6173.682450727698,5757.153367289189,6218.291665832985,5084.25785608271,5803.149409347709
78,5554.059638053113,,5598.004634781384,5886.71410034602,5453.099418297199,6123.470541890856,5698.903674359135,6274.931595657516,5095.3639006667945,5944.250219474452
79,5556.813447559707,,5491.72405074587,5739.586147327711,5509.07892882311,6275.52010193155,5790.725352462272,6267.073703448899,5169.690189599554,5980.935839019738
80,5534.407450879622,,5613.588705501497,5746.524666215293,5507.113221228705,6162.819375711217,5832.961758765254,6242.832188151529,5080.079037830976,5899.9275845906595
