frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,139.0,188.0,150.0,97.0,106.0,120.0,136.0,126.0,139.0,81.0,128.0,75.0,92.0,102.0,66.0
1,141.0,189.0,153.0,97.0,108.0,126.0,139.0,127.0,139.0,82.0,131.0,75.0,87.0,103.0,62.0
2,137.0,191.0,150.0,96.0,107.0,123.0,137.0,129.0,137.0,84.0,129.0,74.0,94.0,108.0,64.0
3,141.0,189.0,147.0,99.0,106.0,121.0,137.0,127.0,137.0,86.0,129.0,76.0,94.0,103.0,60.0
4,140.0,190.0,148.0,98.0,107.0,128.0,139.0,123.0,139.0,87.0,129.0,78.0,95.0,95.0,65.0
5,143.0,191.0,153.0,99.0,109.0,123.0,139.0,127.0,137.0,83.0,135.0,75.0,91.0,102.0,67.0
6,142.0,192.0,146.0,100.0,104.0,123.0,138.0,129.0,136.0,83.0,129.0,76.0,90.0,102.0,61.0
7,138.0,189.0,151.0,97.0,106.0,119.0,137.0,130.0,139.0,81.0,131.0,71.0,87.0,100.0,62.0
8,143.0,192.0,150.0,102.0,108.0,121.0,139.0,128.0,136.0,87.0,133.0,81.0,95.0,99.0,62.0
9,139.0,190.0,148.0,99.0,102.0,121.0,137.0,127.0,136.0,86.0,133.0,80.0,82.0,102.0,62.0
10,139.0,194.0,150.0,98.0,103.0,123.0,136.0,128.0,140.0,86.0,134.0,77.0,81.0,101.0,62.0
11,147.0,190.0,148.0,101.0,107.0,119.0,138.0,124.0,136.0,85.0,131.0,77.0,82.0,100.0,63.0
12,138.0,189.0,146.0,100.0,103.0,121.0,138.0,128.0,140.0,86.0,131.0,76.0,82.0,102.0,61.0
13,139.0,187.0,145.0,103.0,99.0,116.0,136.0,127.0,136.0,84.0,133.0,79.0,81.0,99.0,63.0
14,140.0,193.0,145.0,101.0,107.0,115.0,139.0,127.0,139.0,85.0,132.0,75.0,84.0,97.0,61.0
15,139.0,190.0,145.0,98.0,103.0,115.0,143.0,130.0,140.0,89.0,132.0,78.0,81.0,104.0,62.0
16,138.0,190.0,148.0,100.0,101.0,116.0,135.0,126.0,138.0,87.0,130.0,78.0,82.0,100.0,65.0
17,139.0,189.0,148.0,100.0,102.0,111.0,138.0,125.0,136.0,89.0,134.0,81.0,82.0,103.0,62.0
18,138.0,188.0,148.0,101.0,102.0,115.0,137.0,130.0,142.0,86.0,126.0,78.0,81.0,97.0,62.0
19,141.0,192.0,150.0,101.0,103.0,113.0,141.0,130.0,135.0,86.0,130.0,77.0,81.0,102.0,63.0
20,141.0,188.0,148.0,100.0,104.0,110.0,132.0,121.0,142.0,87.0,125.0,78.0,80.0,97.0,62.0
21,141.0,195.0,146.0,101.0,99.0,115.0,148.0,128.0,139.0,85.0,126.0,78.0,80.0,104.0,63.0
22,137.0,188.0,146.0,95.0,102.0,114.0,138.0,125.0,141.0,81.0,128.0,79.0,82.0,104.0,64.0
23,138.0,192.0,151.0,98.0,106.0,111.0,142.0,128.0,140.0,84.0,126.0,76.0,86.0,98.0,63.0
24,141.0,190.0,152.0,94.0,105.0,117.0,144.0,128.0,138.0,90.0,129.0,78.0,87.0,98.0,66.0
25,141.0,188.0,149.0,95.0,108.0,116.0,133.0,123.0,140.0,83.0,127.0,78.0,86.0,99.0,62.0
26,141.0,197.0,151.0,96.0,104.0,117.0,143.0,128.0,143.0,88.0,126.0,76.0,82.0,100.0,65.0
27,138.0,189.0,148.0,97.0,102.0,120.0,139.0,124.0,139.0,86.0,128.0,79.0,87.0,103.0,65.0
28,136.0,188.0,145.0,95.0,106.0,121.0,143.0,126.0,141.0,86.0,126.0,77.0,87.0,101.0,66.0
29,138.0,189.0,148.0,101.0,105.0,123.0,146.0,127.0,137.0,87.0,123.0,77.0,93.0,101.0,66.0
30,138.0,190.0,140.0,97.0,109.0,124.0,142.0,122.0,137.0,84.0,128.0,78.0,86.0,104.0,66.0
31,137.0,190.0,147.0,99.0,107.0,121.0,144.0,124.0,139.0,86.0,125.0,76.0,85.0,100.0,64.0
32,140.0,186.0,148.0,94.0,105.0,122.0,145.0,126.0,137.0,89.0,127.0,77.0,82.0,101.0,64.0
33,135.0,192.0,147.0,97.0,109.0,122.0,143.0,124.0,139.0,86.0,126.0,77.0,84.0,96.0,67.0
34,134.0,187.0,151.0,98.0,109.0,122.0,143.0,127.0,140.0,84.0,124.0,76.0,83.0,101.0,67.0
35,134.0,191.0,149.0,97.0,110.0,121.0,142.0,128.0,141.0,83.0,130.0,80.0,83.0,101.0,67.0
36,138.0,189.0,149.0,99.0,106.0,124.0,139.0,125.0,140.0,86.0,131.0,75.0,84.0,98.0,63.0
37,134.0,186.0,152.0,99.0,106.0,124.0,139.0,123.0,139.0,86.0,129.0,79.0,88.0,97.0,64.0
38,133.0,187.0,147.0,93.0,109.0,122.0,145.0,122.0,140.0,83.0,122.0,77.0,92.0,98.0,64.0
39,138.0,186.0,146.0,98.0,104.0,122.0,139.0,123.0,137.0,83.0,130.0,77.0,88.0,101.0,68.0
40,138.0,183.0,146.0,95.0,105.0,118.0,140.0,120.0,136.0,83.0,124.0,78.0,88.0,95.0,63.0
41,134.0,189.0,143.0,91.0,100.0,122.0,142.0,123.0,138.0,80.0,126.0,78.0,86.0,99.0,65.0
42,134.0,184.0,145.0,98.0,103.0,123.0,139.0,120.0,134.0,83.0,127.0,78.0,87.0,99.0,62.0
43,136.0,186.0,143.0,97.0,102.0,121.0,140.0,118.0,140.0,84.0,126.0,78.0,89.0,96.0,63.0
44,130.0,188.0,148.0,100.0,100.0,120.0,140.0,123.0,132.0,87.0,126.0,78.0,90.0,96.0,60.0
45,136.0,190.0,144.0,99.0,103.0,121.0,138.0,119.0,138.0,86.0,126.0,80.0,89.0,99.0,62.0
46,137.0,190.0,146.0,101.0,103.0,123.0,141.0,122.0,137.0,85.0,127.0,79.0,94.0,96.0,62.0
47,135.0,186.0,144.0,97.0,101.0,122.0,140.0,125.0,135.0,85.0,126.0,78.0,89.0,100.0,64.0
48,134.0,184.0,147.0,100.0,105.0,125.0,142.0,125.0,137.0,84.0,126.0,79.0,84.0,99.0,64.0
49,133.0,188.0,146.0,99.0,100.0,124.0,140.0,122.0,136.0,82.0,126.0,79.0,85.0,96.0,66.0
50,132.0,184.0,150.0,99.0,104.0,126.0,142.0,122.0,135.0,84.0,127.0,77.0,92.0,98.0,63.0
51,131.0,190.0,146.0,98.0,102.0,124.0,139.0,122.0,134.0,82.0,128.0,75.0,89.0,96.0,64.0
52,136.0,188.0,151.0,96.0,102.0,124.0,140.0,123.0,138.0,83.0,127.0,77.0,90.0,99.0,60.0
53,136.0,186.0,147.0,97.0,102.0,123.0,141.0,124.0,139.0,81.0,128.0,77.0,92.0,99.0,62.0
54,135.0,188.0,149.0,98.0,102.0,124.0,141.0,126.0,144.0,83.0,129.0,79.0,94.0,102.0,61.0
55,142.0,194.0,147.0,99.0,102.0,112.0,138.0,124.0,138.0,84.0,128.0,77.0,97.0,102.0,65.0
56,142.0,189.0,155.0,100.0,101.0,125.0,139.0,127.0,140.0,88.0,129.0,77.0,95.0,100.0,66.0
57,138.0,188.0,148.0,102.0,101.0,124.0,142.0,124.0,140.0,86.0,129.0,79.0,93.0,102.0,67.0
58,138.0,187.0,155.0,100.0,105.0,125.0,141.0,124.0,141.0,85.0,131.0,79.0,93.0,103.0,64.0
59,140.0,189.0,147.0,101.0,104.0,125.0,141.0,127.0,143.0,89.0,127.0,78.0,95.0,96.0,66.0
60,139.0,192.0,148.0,100.0,105.0,118.0,136.0,126.0,139.0,88.0,130.0,77.0,95.0,101.0,64.0
61,142.0,193.0,146.0,98.0,106.0,120.0,140.0,126.0,137.0,86.0,134.0,82.0,95.0,103.0,63.0
62,138.0,189.0,151.0,99.0,107.0,114.0,137.0,125.0,144.0,87.0,128.0,79.0,96.0,103.0,66.0
63,138.0,189.0,150.0,97.0,105.0,123.0,141.0,126.0,139.0,83.0,134.0,81.0,95.0,103.0,63.0
64,140.0,191.0,153.0,99.0,106.0,125.0,139.0,128.0,140.0,86.0,131.0,78.0,90.0,100.0,65.0
65,143.0,191.0,148.0,99.0,109.0,123.0,140.0,130.0,136.0,87.0,133.0,78.0,96.0,103.0,62.0
66,142.0,190.0,145.0,101.0,105.0,123.0,143.0,129.0,133.0,86.0,135.0,79.0,93.0,95.0,64.0
67,143.0,194.0,148.0,98.0,110.0,120.0,142.0,130.0,136.0,88.0,136.0,77.0,96.0,103.0,65.0
68,143.0,194.0,148.0,98.0,106.0,119.0,140.0,129.0,140.0,90.0,133.0,75.0,88.0,101.0,65.0
69,136.0,189.0,145.0,100.0,106.0,122.0,142.0,125.0,134.0,91.0,131.0,79.0,93.0,103.0,67.0
70,141.0,190.0,144.0,94.0,111.0,122.0,139.0,130.0,136.0,85.0,134.0,79.0,88.0,101.0,62.0
71,145.0,187.0,147.0,96.0,109.0,118.0,144.0,127.0,135.0,89.0,137.0,79.0,94.0,103.0,68.0
72,139.0,189.0,144.0,96.0,100.0,114.0,139.0,131.0,140.0,89.0,133.0,80.0,86.0,103.0,66.0
