frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,4804.871481856429,5104.128989361703,5459.968695652176,4582.025435700714,4816.340749707797,4869.885620323439,4244.758523558678,5177.25863509348,4715.8932881155015,3542.3742504409165,4859.83316296729,4265.855208850757,3040.557685983029,3354.3265806322524,3702.148486780461
1,4877.282881649931,5048.412798375815,5269.843249278732,4520.675097283445,4768.0774546014145,4813.1518037518035,4219.925632578052,5036.928666896973,4800.448940590461,3649.1630145825293,4697.896081246057,4258.643507187477,3060.482005041187,3330.9185288709778,3819.0931842658574
2,4809.762191527607,5053.270096292705,5368.339966348845,4478.434276504297,4862.18194923611,4857.137054998999,4207.942418888164,5026.675516971885,4701.2288949983085,3586.575371549894,4802.416081080468,4061.0911841864436,3052.372935013176,3266.9584044126022,3815.073446945593
3,4670.459820599735,4991.129378380774,5285.040158183296,4569.220534495187,4776.624411356253,4875.282854234039,4097.424715773599,4956.306703038819,4656.680888102212,3542.6647554556002,4700.108771786752,4047.6531165311644,3003.9372662798196,3329.997125539583,3838.9025103272943
4,4804.587615006061,5020.164407159467,5273.655272808552,4515.06111476849,4752.959680238651,4801.402221055516,4212.225154369979,5066.174328697052,4566.23829133602,3508.0304155614504,4768.651366669837,4127.916617423845,3024.212585291887,3400.3933695448577,3831.9985537088796
5,4682.949783050906,4990.733242514041,5256.082088193929,4519.737286815805,4708.939624483817,4808.434752852605,4167.6526945838705,4955.644637688067,4663.994116725666,3603.726176855962,4856.054923747277,4192.450852713177,2981.8298156869605,3431.1293517406957,3699.224665892478
6,4799.756535717806,4946.380391373805,5402.20387576627,4422.979354375893,4769.1467130161145,4810.751393474631,4158.76004140787,5048.75981415977,4745.572513835388,3517.8781659193664,4771.824188221224,4105.3192126658105,3069.3080228264516,3281.8320154945905,3811.8767938469864
7,4776.749231992482,5031.090512326231,5288.525308270346,4591.7234077133035,4753.202446460829,4892.5415838323715,4182.50459206097,5020.652695336161,4647.75991983556,3512.1210411892607,4782.207588816011,4200.2611490443705,2994.9872497812903,3365.0504383282387,3922.8822349864095
8,4803.633305831114,5074.510865947814,5349.826520517145,4520.992483425529,4681.935688182635,4903.400293448318,4164.383409866266,5007.286225030268,4680.26332812474,3358.469192835797,4826.662037342918,4092.067164408654,2971.751390606918,3327.129006964624,3846.3360121031837
9,4802.054713226178,5020.751583710407,5489.155594776388,4464.691616777312,4853.845680418188,4887.528895676129,4126.085915179483,5091.759186946598,4646.856949579833,3444.018853732523,4713.183640119631,4053.5160940325477,2939.0549512927573,3310.2334870811865,3804.006943945842
10,4772.287875740345,5041.799348251381,5283.740404380787,4483.072408748449,4790.52166404813,4806.700602971196,4169.582889359219,4930.258966404359,4662.136461865273,3522.2178162765995,4721.185146535245,4114.021151200279,3070.5741894974017,3377.6112412768016,3679.9746807528572
