frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,105.0,0.0,115.0,143.0,149.0,161.0,126.0,119.0,169.0,194.0,111.0,127.0,156.0,133.0,176.0
1,104.0,0.0,110.0,142.0,151.0,168.0,129.0,121.0,166.0,191.0,107.0,129.0,156.0,128.0,171.0
2,102.0,0.0,112.0,144.0,146.0,166.0,132.0,111.0,170.0,191.0,102.0,129.0,155.0,131.0,172.0
3,107.0,0.0,109.0,142.0,148.0,168.0,128.0,119.0,170.0,190.0,103.0,126.0,159.0,132.0,176.0
4,107.0,0.0,113.0,141.0,149.0,163.0,130.0,120.0,169.0,195.0,106.0,128.0,160.0,132.0,177.0
5,105.0,0.0,116.0,144.0,150.0,161.0,133.0,119.0,165.0,193.0,106.0,127.0,152.0,132.0,176.0
6,105.0,0.0,115.0,141.0,149.0,164.0,129.0,116.0,165.0,193.0,106.0,123.0,155.0,130.0,178.0
7,109.0,0.0,116.0,143.0,150.0,163.0,129.0,117.0,171.0,194.0,106.0,127.0,150.0,131.0,176.0
8,107.0,0.0,118.0,142.0,152.0,154.0,130.0,115.0,166.0,193.0,104.0,126.0,158.0,134.0,179.0
9,107.0,0.0,117.0,142.0,149.0,163.0,135.0,116.0,165.0,199.0,105.0,124.0,157.0,128.0,177.0
10,107.0,0.0,116.0,139.0,151.0,158.0,134.0,121.0,171.0,197.0,107.0,124.0,162.0,131.0,178.0
11,107.0,0.0,113.0,139.0,153.0,163.0,131.0,115.0,165.0,198.0,108.0,125.0,162.0,136.0,178.0
12,110.0,0.0,111.0,141.0,152.0,161.0,135.0,110.0,168.0,0.0,108.0,125.0,159.0,128.0,179.0
13,107.0,0.0,115.0,141.0,148.0,161.0,130.0,117.0,168.0,0.0,109.0,124.0,158.0,131.0,174.0
14,107.0,0.0,111.0,138.0,150.0,167.0,131.0,115.0,166.0,200.0,110.0,128.0,159.0,131.0,176.0
15,108.0,0.0,116.0,144.0,152.0,162.0,133.0,115.0,164.0,197.0,110.0,125.0,165.0,129.0,181.0
16,105.0,0.0,116.0,139.0,152.0,164.0,128.0,117.0,164.0,195.0,109.0,122.0,162.0,130.0,176.0
17,105.0,0.0,115.0,144.0,149.0,166.0,133.0,115.0,168.0,197.0,112.0,126.0,159.0,131.0,179.0
18,107.0,0.0,119.0,143.0,151.0,162.0,130.0,118.0,166.0,195.0,111.0,125.0,158.0,130.0,175.0
19,111.0,0.0,117.0,146.0,153.0,165.0,134.0,119.0,165.0,0.0,107.0,127.0,162.0,132.0,176.0
20,108.0,0.0,114.0,142.0,150.0,159.0,128.0,115.0,163.0,194.0,107.0,125.0,158.0,129.0,172.0
21,106.0,0.0,118.0,145.0,151.0,161.0,129.0,116.0,163.0,192.0,107.0,123.0,158.0,134.0,172.0
22,109.0,0.0,111.0,144.0,151.0,159.0,128.0,118.0,163.0,195.0,101.0,120.0,157.0,134.0,175.0
23,110.0,0.0,114.0,145.0,154.0,161.0,126.0,119.0,163.0,197.0,105.0,121.0,161.0,127.0,174.0
24,109.0,0.0,112.0,141.0,150.0,161.0,128.0,117.0,166.0,195.0,102.0,125.0,159.0,127.0,174.0
25,108.0,0.0,115.0,144.0,154.0,166.0,126.0,118.0,164.0,196.0,106.0,122.0,163.0,130.0,179.0
26,105.0,0.0,115.0,149.0,152.0,162.0,128.0,118.0,167.0,198.0,108.0,124.0,158.0,126.0,178.0
27,111.0,0.0,115.0,143.0,152.0,163.0,127.0,119.0,166.0,194.0,105.0,122.0,163.0,130.0,176.0
28,107.0,0.0,110.0,142.0,147.0,163.0,130.0,121.0,164.0,191.0,105.0,121.0,162.0,129.0,179.0
29,105.0,0.0,111.0,143.0,147.0,165.0,127.0,116.0,165.0,193.0,109.0,122.0,163.0,131.0,180.0
30,105.0,0.0,111.0,145.0,148.0,162.0,128.0,118.0,164.0,192.0,108.0,122.0,163.0,134.0,172.0
31,110.0,0.0,115.0,145.0,156.0,161.0,130.0,113.0,165.0,200.0,108.0,122.0,161.0,135.0,177.0
32,106.0,0.0,111.0,149.0,150.0,164.0,127.0,119.0,167.0,190.0,107.0,129.0,165.0,131.0,176.0
33,105.0,0.0,113.0,145.0,152.0,161.0,128.0,112.0,167.0,195.0,107.0,127.0,159.0,130.0,175.0
34,106.0,0.0,114.0,146.0,151.0,158.0,131.0,121.0,168.0,194.0,104.0,126.0,160.0,131.0,178.0
35,106.0,0.0,114.0,145.0,149.0,163.0,131.0,117.0,167.0,193.0,106.0,124.0,160.0,137.0,179.0
36,108.0,0.0,116.0,143.0,153.0,161.0,130.0,118.0,168.0,192.0,107.0,125.0,160.0,131.0,179.0
37,104.0,0.0,113.0,145.0,151.0,158.0,133.0,110.0,170.0,192.0,106.0,122.0,160.0,130.0,173.0
38,105.0,0.0,115.0,140.0,151.0,161.0,129.0,120.0,158.0,190.0,108.0,125.0,159.0,129.0,174.0
39,101.0,0.0,113.0,141.0,150.0,161.0,129.0,107.0,162.0,195.0,108.0,126.0,159.0,122.0,175.0
40,105.0,0.0,110.0,139.0,147.0,163.0,128.0,114.0,168.0,188.0,108.0,124.0,160.0,126.0,173.0
41,108.0,0.0,114.0,138.0,147.0,166.0,132.0,116.0,169.0,193.0,109.0,125.0,156.0,132.0,175.0
