frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,33440.038095238095,,32989.89565217392,32770.93006993007,30793.677852348992,32365.236024844722,31855.071428571428,32915.378151260506,32667.260355029586,33067.05670103093,30874.65765765766,30132.385826771653,28950.22435897436,30222.962406015038,31907.88068181818
1,33405.86538461538,,33011.91818181818,32731.23943661972,30672.490066225164,32216.339285714286,31897.767441860466,32974.545454545456,32651.018072289156,33068.23036649215,30888.392523364488,30151.007751937985,28902.70512820513,30315.6953125,31872.812865497075
2,33402.80392156863,,32900.32142857143,32583.659722222223,30651.246575342466,32186.5843373494,31805.742424242424,32937.576576576575,32554.194117647057,32883.497382198955,30832.21568627451,30015.263565891473,28879.090322580647,30230.31297709924,31871.372093023256
3,33313.51401869159,,32898.1743119266,32784.64788732395,30598.094594594593,32132.761904761905,31896.0703125,32831.93277310924,32573.235294117647,33031.426315789475,30888.21359223301,30061.007936507936,28880.62893081761,30243.060606060608,31860.227272727272
4,33314.14018691589,,32938.46902654867,32673.822695035462,30675.013422818793,32207.122699386502,31869.253846153846,32953.083333333336,32676.526627218936,32959.11794871795,30872.169811320753,30035.9921875,28861.04375,30330.272727272728,31950.621468926554
5,33365.114285714284,,32994.90517241379,32830.4375,30747.3,32317.757763975154,31985.879699248122,32964.53781512605,32715.89696969697,33026.21761658031,31000.471698113208,30131.267716535433,28923.177631578947,30409.015151515152,31833.125
6,33477.885714285716,,33037.04347826087,32827.16312056738,30635.375838926175,32284.664634146342,31891.612403100775,32868.224137931036,32707.81818181818,33047.20725388601,30927.122641509435,30196.56910569106,28827.74193548387,30372.323076923076,31934.578651685395
7,33446.633027522934,,32988.620689655174,32799.881118881116,30800.82,32302.184049079755,31932.418604651164,32998.40170940171,32690.2865497076,32957.85051546392,30874.528301886792,30221.992125984252,28977.753333333334,30417.007633587786,31995.954545454544
8,33442.02803738318,,33060.52542372881,32743.091549295776,30659.657894736843,32449.376623376622,31946.853846153845,33065.77391304348,32759.05421686747,33086.279792746114,30919.55769230769,30101.444444444445,28975.006329113923,30312.68656716418,31871.45251396648
9,33476.90654205607,,33091.11111111111,32784.218309859156,30721.805369127516,32398.453987730063,31949.36296296296,32954.76724137931,32718.236363636363,32978.34673366834,30890.209523809524,30161.40322580645,28851.299363057326,30311.1171875,31865.70056497175
10,33464.04672897196,,33111.74137931035,32860.69064748201,30763.30463576159,32441.189873417723,32074.626865671642,33013.925619834714,32708.43859649123,32989.00507614213,30945.51401869159,30189.16935483871,28842.79012345679,30393.63358778626,31913.426966292136
11,33510.63551401869,,33183.25663716814,32916.09352517986,30811.67320261438,32419.306748466257,32017.809160305344,33065.93043478261,32801.951515151515,33168.14646464647,30955.85185185185,30127.488,28920.666666666668,30272.102941176472,31892.786516853932
12,33418.663636363635,,33066.54954954955,32936.333333333336,30753.16447368421,32462.2049689441,32073.385185185187,33140.11818181818,32791.416666666664,,30972.333333333332,30191.464,28936.779874213837,30453.3515625,31913.670391061452
13,33408.009345794395,,33110.65217391304,32842.85815602837,30841.817567567567,32464.403726708075,32065.984615384616,33054.717948717946,32760.380952380954,,30984.65137614679,30188.233870967742,28968.474683544304,30371.34351145038,32085.632183908045
14,33496.6168224299,,33123.67567567567,32943.637681159424,30833.28,32426.08383233533,31981.01526717557,33077.47826086957,32866.0,33156.8,31055.81818181818,30235.8203125,29047.77358490566,30384.31297709924,31988.113636363636
15,33471.81481481482,,33105.629310344826,32875.45138888889,30813.217105263157,32490.506172839505,32064.947368421053,33210.565217391304,32859.76829268293,33197.72081218274,31038.827272727274,30213.08,28987.939393939392,30412.542635658916,32015.38674033149
16,33520.304761904765,,33189.043103448275,32946.0,30823.58552631579,32458.341463414636,32177.1875,33119.10256410256,32833.56707317073,33130.46153846154,31092.394495412846,30249.254098360656,28979.586419753086,30491.546153846153,32020.8125
17,33592.34285714286,,33136.05217391304,32977.76388888889,30937.68456375839,32488.734939759037,32021.774436090225,33239.12173913044,32813.64880952381,33126.96954314721,31113.16964285714,30230.56349206349,29014.559748427673,30532.69465648855,32017.73184357542
18,33581.20560747664,,33083.184873949576,32923.33566433567,31022.238410596026,32637.086419753086,32074.907692307694,33272.94915254237,32914.82530120482,33167.07692307692,30940.126126126128,30289.608,29055.75316455696,30517.723076923077,32049.08
19,33513.18018018018,,33107.256410256414,32901.08904109589,30911.843137254902,32496.21818181818,32157.082089552237,33194.663865546216,32867.29696969697,,31137.383177570093,30266.149606299212,29069.679012345678,30514.28787878788,32098.6875
20,33575.67592592593,,33311.62280701754,32987.32394366197,30956.08,32643.314465408806,32246.609375,33210.51304347826,32948.490797546016,33227.22680412371,31059.140186915887,30321.136,29143.449367088608,30588.612403100775,32215.06976744186
21,33595.33018867925,,33302.14406779661,32968.45517241379,30958.264900662252,32601.47204968944,32281.658914728683,33306.66379310345,32968.38036809816,33192.583333333336,31140.73831775701,30402.788617886177,29121.0,30574.194029850747,32157.4011627907
22,33659.66055045871,,33327.46846846847,33029.375,30950.48344370861,32557.666666666668,32225.0546875,33281.627118644064,33045.27607361963,33271.78974358975,31130.21782178218,30353.7,29147.980891719744,30533.985074626864,32175.36
23,33666.24545454545,,33299.55263157895,33080.56551724138,31022.68181818182,32699.726708074533,32308.74603174603,33280.06722689076,33029.64417177914,33279.16751269036,31222.41904761905,30478.537190082643,29111.987577639753,30637.251968503937,32248.7816091954
24,33648.25688073395,,33315.00892857143,33099.65957446808,31085.246666666666,32738.14285714286,32341.75,33273.393162393164,33020.51204819277,33315.03076923077,31347.813725490196,30394.376,29188.238993710693,30751.20472440945,32295.120689655174
25,33722.53703703704,,33456.73043478261,33092.5,31086.655844155845,32667.192771084337,32369.928571428572,33378.59322033898,33056.89024390244,33373.005102040814,31211.811320754718,30446.180327868853,29182.29447852761,30834.86923076923,32184.240223463687
26,33734.8,,33471.330434782605,33159.657718120805,31147.638157894737,32716.975308641977,32354.1171875,33309.03389830508,33007.293413173655,33385.944444444445,31310.62037037037,30447.435483870966,29207.227848101265,30894.190476190477,32313.0
27,33659.17117117117,,33505.57391304348,33222.57342657343,31057.565789473683,32739.576687116565,32401.91338582677,33433.17647058824,33071.06626506024,33402.48453608248,31425.380952380954,30489.844262295082,29209.171779141103,30937.776923076923,32331.9375
28,33765.15887850467,,33579.972727272725,33317.07042253521,31207.12925170068,32890.42944785276,32500.669230769232,33471.652892561986,33084.43292682927,33525.58638743455,31348.342857142856,30537.81818181818,29268.62962962963,31009.868217054263,32321.245810055865
