frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,32113.317073170732,30203.04794520548,,29623.155405405407,28427.993197278913,31991.128787878788,33748.08411214953,33914.775147928995,,32321.282894736843
1,32092.59393939394,30165.687074829933,,29639.068493150684,28364.37162162162,31908.115942028984,33781.763636363634,33906.04761904762,,32306.115646258502
2,32080.48502994012,30208.074324324323,,29568.324324324323,28374.32,31886.891304347828,33721.57142857143,33933.69696969697,32428.409090909092,32211.196078431374
3,32110.37278106509,30190.768707482992,,29639.774647887323,28412.598639455784,31902.11111111111,33686.10909090909,33982.15476190476,32446.311557788944,32290.590604026846
4,32103.90643274854,30202.00684931507,,29697.544217687075,28385.530612244896,32033.803030303032,33896.7037037037,33889.964705882354,32473.51530612245,32387.405405405407
5,32190.934131736525,30265.321917808218,,29684.52380952381,28469.609589041094,32059.992481203008,33900.15094339623,33881.216374269,,32406.45205479452
6,32195.258823529413,30377.412162162163,,29821.729166666668,28450.846666666668,32161.135338345866,33959.62037037037,34032.81176470588,,32510.026490066226
7,32280.53846153846,30340.38255033557,,29927.68613138686,28564.071428571428,32136.178294573645,33949.19626168224,34153.005952380954,32621.938775510203,32437.993377483443
8,32416.229411764707,30391.625850340137,,29903.07857142857,28570.315789473683,32195.703125,34124.62962962963,34122.05325443787,32774.795918367345,32523.94
9,32443.754285714287,30527.6993006993,,30061.85106382979,28649.31333333333,32239.06106870229,34110.87619047619,34277.51204819277,32821.35,32516.006622516557
10,32562.538922155687,30516.061224489797,,29989.372413793102,28687.513157894737,32343.584615384614,34128.81308411215,34305.0,,32622.967105263157
11,32602.868263473054,30593.125874125875,,30076.8661971831,28721.95945945946,32427.5,34282.51401869159,34339.44578313253,,32687.185430463574
12,32469.309523809523,30671.713333333333,,30065.286666666667,28752.87837837838,32451.9296875,34276.6168224299,34320.2874251497,32963.67857142857,32631.442953020134
13,32580.06432748538,30739.70344827586,,30053.776223776225,28808.36301369863,32513.511627906977,34265.916666666664,34347.4251497006,33030.46231155779,32794.39189189189
14,32590.748538011696,30692.218309859156,,30158.868965517242,28754.836734693876,32445.023255813954,34265.81904761905,34329.0843373494,32925.954545454544,32667.364864864863
15,32521.282352941176,30686.238095238095,,30137.68085106383,28830.330985915494,32479.81679389313,34172.15740740741,34283.982142857145,32983.794871794875,32737.574324324323
16,32719.25,30741.398692810457,,30214.407142857144,28746.719178082192,32461.751879699248,34244.72321428572,34268.2754491018,32991.7806122449,32691.04054054054
