frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,26357.42342111992,25307.877822580645,25133.430715197956,25068.139102304893,23993.490765171504,26799.457722174287,27531.43885147111,27527.168674698794,27245.606303280805,26467.266383495145
1,26363.538540332906,25298.557886244453,25111.512132822478,25075.70303030303,23983.90271343481,26790.751948051948,27525.675656493968,27522.847944142748,27247.7207439938,26493.815375302664
2,26354.122443762782,25306.76755447942,25113.319604086846,25064.561665992722,23982.360026472536,26802.393768931197,27528.990767045456,27524.81944982565,26799.064877617224,26470.29701765064
3,26359.143003587902,25296.46906591185,25116.29853128991,25076.828559903188,23984.72967614012,26810.699826989618,27536.372604684173,27532.537626066718,26810.175324675325,26486.477575757577
4,26379.984615384616,25330.778900565885,25132.108237547895,25091.6202582728,23999.324966974902,26841.664217804668,27567.21453900709,27560.87869362364,26850.023564064802,26538.879685610642
5,26442.321136131013,25389.069814366423,25187.116219667943,25149.937853107345,24042.286372613562,26887.621493310315,27641.174097664545,27605.56087125632,27356.47352105399,26564.234620024126
6,26527.98590105101,25456.290048543688,25239.716155810984,25208.0761789601,24129.24603174603,26974.943461372466,27695.76062322946,27681.969626168226,27436.677602686643,26654.03153426319
7,26539.090466427475,25479.476325374344,25291.12037037037,25263.397106109325,24150.648541114057,27020.671693235676,27729.62725663717,27719.95616757176,26994.456771909117,26665.705275924804
8,26616.187644193797,25546.652279144815,25368.444444444445,25320.365392354124,24196.55245683931,27068.239448751076,27796.287535410764,27774.829770695687,27044.65948657421,26743.133333333335
9,26658.816923076924,25606.244758064517,25401.409961685822,25373.06843800322,24268.396825396827,27131.00733074601,27844.414927484966,27799.098214285714,27103.485807214667,26772.663432383262
10,26727.404042988743,25678.19369187222,25458.113346104725,25422.075806451612,24323.493377483443,27164.945595854922,27908.17699115044,27851.05199844781,27587.65745285456,26827.370977534913
11,26767.231064483112,25699.671370967742,25510.45945083014,25454.618203785743,24354.38705416116,27205.030094582977,27943.518584070796,27897.72748447205,27642.92766726944,26849.219526986053
12,26779.01740911418,25723.84410339257,25525.891762452105,25471.721974908945,24393.75677461996,27241.29508196721,27947.17628318584,27891.648932038835,27183.301268810857,26850.221346270468
13,26835.724897540982,25757.25857200484,25565.40740740741,25520.831315577077,24423.333113456465,27272.261997405967,27995.933073654393,27936.78834951456,27240.11458948612,26921.218523002422
14,26817.48130122951,25749.41304347826,25551.07024265645,25509.67730210016,24415.653465346535,27262.70090634441,27976.137247966042,27913.825581395347,27193.948596750368,26874.693840579712
