frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,27838.227642276423,27825.408163265307,29549.47328244275,30072.17006802721,28563.95145631068,29424.2,28780.542372881355,25754.318518518518,28985.865853658535,29253.24705882353,29936.56923076923,29130.638095238097,29265.1,29092.13157894737,29289.0
1,27954.933333333334,27882.33108108108,29612.296,30005.22147651007,28598.6,29491.51260504202,28948.681034482757,25673.753623188404,29115.265060240963,29247.159090909092,29908.589552238805,29049.82857142857,29283.398692810457,29118.633928571428,29403.85185185185
2,27779.071428571428,27818.802721088436,29591.8515625,30026.398601398603,28665.876190476192,29452.325,28817.837398373984,25824.823076923076,29053.614457831325,29255.3595505618,29915.0,29060.53846153846,29240.943037974685,29029.660869565218,29402.88888888889
3,27850.508333333335,27873.916666666668,29606.380952380954,30042.777777777777,28721.980198019803,29372.422764227642,28872.0,25823.65648854962,29105.0,29125.101123595505,29874.649253731342,29105.66346153846,29227.49685534591,29070.796460176993,29337.79069767442
4,27839.83064516129,27877.890410958906,29616.761904761905,30023.255172413792,28594.633663366338,29407.70491803279,28888.034188034188,25804.28787878788,29097.604938271605,29234.784090909092,29942.93233082707,29112.86274509804,29203.09375,29045.24347826087,29365.04761904762
5,27848.793388429753,27829.381944444445,29599.317829457363,30093.34965034965,28677.03,29391.0,28881.21848739496,25742.21167883212,29062.720930232557,29219.662921348314,29836.215384615385,29009.509615384617,29255.025316455696,29130.447368421053,29370.987654320987
6,27826.456,27892.88489208633,29540.217054263565,30106.344827586207,28673.21649484536,29428.93388429752,28875.453781512606,25791.82608695652,29132.583333333332,29210.32608695652,30013.702290076337,29130.35,29206.975308641977,29109.456896551725,29298.190476190477
7,27832.35714285714,27842.77397260274,29577.746153846154,30116.73469387755,28615.20618556701,29478.0,28911.385245901638,25808.65648854962,29028.8488372093,29273.20879120879,29926.557251908398,29079.73076923077,29209.59748427673,29088.078260869566,29359.129411764705
8,27717.133858267716,27869.909090909092,29491.42748091603,30088.08,28658.39175257732,29461.361344537814,28801.66129032258,25771.748091603054,29043.93181818182,29138.26966292135,29888.389705882353,29088.725490196077,29166.938650306747,29027.957627118645,29285.183908045976
9,27660.078125,27858.205673758865,29468.793893129772,30098.821917808218,28667.343137254902,29365.808333333334,28781.47899159664,25749.691176470587,28963.375,29238.191011235955,29905.808823529413,29047.33009708738,29210.810126582277,29032.543103448275,29387.86746987952
10,27766.129032258064,27825.22695035461,29355.388059701494,29935.37671232877,28564.48514851485,29322.175,28749.302521008405,25743.834586466164,28925.736263736264,29096.516853932586,29888.103703703702,29024.06796116505,29077.469879518074,28934.30769230769,29243.670588235294
11,27682.5859375,27824.755244755244,29470.082089552237,29991.216216216217,28547.95,29333.785123966944,28740.058823529413,25663.66911764706,28898.127906976744,29132.954545454544,29782.303703703703,28947.31683168317,29119.16352201258,28967.070796460175,29246.619047619046
12,27709.93650793651,27801.12676056338,29458.561538461538,29994.65306122449,28539.32,29353.840707964602,28636.531746031746,25621.51111111111,28938.597701149425,29096.3595505618,29680.067164179105,29031.456310679612,29093.932515337423,28979.724137931036,29301.843373493975
13,27730.8,27889.539568345324,29487.84126984127,29934.391891891893,28473.456310679612,29188.811475409835,28719.057851239668,25662.264705882353,28899.655555555557,29076.554347826088,29740.051470588234,28901.43269230769,29101.115853658535,28958.71551724138,29216.530120481926
14,27713.21875,27797.561151079135,29427.372093023256,29961.780821917808,28576.917525773195,29345.475409836065,28689.380165289258,25607.906474820145,28837.866666666665,29010.588888888888,29782.955223880595,28946.09900990099,29086.242236024846,28887.79487179487,29259.575
15,27640.936,27741.47857142857,29431.68992248062,29941.31333333333,28523.171717171717,29231.141666666666,28697.349593495936,25674.772727272728,28907.0,29105.280898876405,29768.63503649635,28881.176470588234,29036.97005988024,28983.88695652174,29138.302325581397
16,27668.103174603173,27767.084507042255,29397.335877862595,29828.006711409394,28407.9,29219.245901639344,28678.677685950413,25611.308823529413,28808.023255813954,29066.232558139534,29721.544776119405,28932.757575757576,29056.95625,28972.324561403508,29226.5375
17,27641.722222222223,27658.76388888889,29385.91603053435,29799.0,28330.0,29242.69298245614,28677.466101694914,25552.565217391304,28828.505617977527,29025.966666666667,29789.782945736435,28880.323529411766,28990.232704402515,28849.313559322032,29009.2183908046
18,27621.1171875,27638.772413793104,29331.06818181818,29859.585034013606,28337.156862745098,29194.15254237288,28627.560975609755,25554.772058823528,28798.28888888889,28970.222222222223,29682.580152671755,28819.24761904762,29009.472392638036,28861.798245614034,29251.410256410258
19,27557.84375,27678.836879432623,29346.8671875,29838.67361111111,28390.948979591838,29147.525423728814,28485.669491525423,25514.548148148147,28820.728260869564,28933.261363636364,29636.10447761194,28753.135922330097,28963.748466257668,28825.08620689655,29031.80681818182
20,27536.024193548386,27625.90780141844,29276.6511627907,29863.52380952381,28358.52475247525,29098.918032786885,28607.365853658535,25604.837037037036,28730.86813186813,28973.571428571428,29648.961832061068,28902.49019607843,28957.018292682926,28843.964912280702,29079.068965517243
21,27570.1015625,27584.73103448276,29260.062015503878,29753.342281879195,28244.73076923077,29119.666666666668,28580.536585365855,25565.624060150374,28713.102272727272,28872.722222222223,29636.886363636364,28782.237623762376,28899.145569620254,28754.273504273504,28935.511904761905
22,27498.865079365078,27652.457142857143,29182.87786259542,29775.219178082192,28388.861386138615,29041.581967213115,28567.198347107438,25523.946969696968,28677.279569892475,28953.685393258427,29642.492424242424,28818.74226804124,28836.16564417178,28795.991150442478,29070.146341463416
23,28409.849206349205,28478.54109589041,30261.279069767443,30785.734265734267,29359.50495049505,30168.406779661018,29433.39344262295,26351.17518248175,29627.85714285714,29877.922222222223,30640.83846153846,29657.06796116505,29684.14024390244,29636.385964912282,29934.931034482757
24,28637.626984126986,28643.375,30433.190839694656,31025.374149659863,29587.632653061224,30154.752136752137,29593.40163934426,26469.555555555555,29887.107526881722,30057.314606741573,30834.272727272728,29880.16,30100.70779220779,29935.641025641027,30221.267441860466
25,28467.286885245903,28546.732394366198,30328.984251968504,30789.18,29299.07843137255,30143.60655737705,29452.72,26220.690647482013,29712.48275862069,29927.05617977528,30654.36296296296,29752.445544554455,29979.52795031056,29710.4,30036.621951219513
26,27173.921875,27264.54861111111,28849.108527131782,29303.587837837837,27968.26732673267,28714.90163934426,28118.45901639344,25164.624060150374,28262.44827586207,28533.213483146068,29227.776923076923,28439.686274509804,28524.271604938273,28539.66371681416,28630.535714285714
27,27064.59375,27124.445205479453,28745.9921875,29172.63945578231,27834.59223300971,28626.603305785124,28031.198347107438,25133.181159420288,28212.88172043011,28337.280898876405,29025.560606060608,28293.11650485437,28424.2375,28143.837606837606,28596.69512195122
28,27120.51181102362,27260.11971830986,28887.840909090908,29412.476510067114,28013.418367346938,28658.27966101695,28168.918032786885,25169.015151515152,28413.924731182797,28388.25581395349,29187.89393939394,28442.643564356436,28468.251533742332,28319.03448275862,28645.65882352941
29,26954.081967213115,26995.72340425532,28514.13076923077,28933.93288590604,27660.274509803923,28386.102564102563,27776.555555555555,24839.767605633802,28000.43023255814,28106.97701149425,28868.874074074072,28047.114285714284,28269.030674846625,28079.168067226892,28384.841463414636
30,27047.504132231406,27113.11188811189,28740.32283464567,29209.904761904763,27851.072164948455,28600.36440677966,28089.658333333333,25053.94814814815,28258.156626506025,28403.238636363636,29091.04411764706,28207.778846153848,28378.103658536584,28297.460869565217,28526.095238095237
31,27191.75,27201.798657718122,28818.862595419847,29361.972413793104,27943.75,28694.024590163935,28160.146341463416,25206.171641791047,28360.89534883721,28423.380434782608,29223.768656716416,28450.30769230769,28552.120253164558,28378.46153846154,28662.493827160495
32,27265.764705882353,27353.225352112677,28999.2890625,29394.34693877551,28100.445544554455,28781.725806451614,28252.02564102564,25242.598540145984,28486.954022988506,28603.617021276597,29344.061538461538,28500.43137254902,28629.75625,28454.881355932204,28730.156626506025
33,27211.932773109245,27255.53146853147,28924.641221374044,29392.558620689655,27998.93137254902,28729.404958677685,28201.487603305784,25227.766917293233,28363.95294117647,28575.137931034482,29267.39393939394,28419.48076923077,28590.440251572327,28367.208333333332,28686.086419753086
34,27455.696,27470.715277777777,29071.03125,29601.630136986303,28237.514563106797,28989.689075630253,28419.925,25402.9022556391,28685.471264367818,28797.367816091955,29520.842105263157,28683.134615384617,28836.51572327044,28626.1452991453,29038.380952380954
35,27899.416666666668,27941.23776223776,29561.46511627907,30274.11724137931,28708.609523809522,29493.344537815126,28973.454545454544,25868.566176470587,29197.3908045977,29345.919540229886,30110.83582089552,29268.85576923077,29310.374233128834,29181.344827586207,29497.79012345679
36,28459.100775193798,28454.260273972603,30285.68702290076,30854.850340136054,29360.368932038837,30141.898305084746,29473.272,26371.05185185185,29832.48275862069,29897.01111111111,30644.68888888889,29902.28431372549,29961.157575757577,29804.508333333335,30150.530120481926
37,28579.652892561982,28628.992907801417,30392.03100775194,30938.35172413793,29438.30693069307,30204.483606557376,29554.95901639344,26378.037037037036,29845.91208791209,29985.441860465115,30697.037037037036,29865.961165048542,29920.179012345678,29772.412280701756,30138.2125
38,27940.859375,28060.53846153846,29692.25396825397,30148.77852348993,28778.14,29530.99173553719,28922.974789915967,25865.323529411766,29139.738636363636,29282.186813186814,29955.31818181818,29211.960784313724,29288.9625,29048.333333333332,29561.962962962964
39,28438.634920634922,28498.5625,30179.0078125,30754.78620689655,29199.087378640776,30030.99173553719,29357.60162601626,26309.253623188404,29644.373626373625,29892.476744186046,30542.679389312976,29684.688679245282,29726.693251533743,29660.63963963964,30095.19512195122
40,27972.780487804877,27998.41843971631,29737.96153846154,30363.401408450703,28827.37623762376,29605.420168067227,29043.196721311477,25958.85401459854,29345.862068965518,29341.584269662922,30110.06923076923,29239.539215686276,29450.816455696204,29239.008547008547,29525.831325301206
41,28179.9126984127,28230.760273972603,30014.73282442748,30538.678082191782,29075.038834951458,29892.491666666665,29232.066666666666,26162.25925925926,29586.52380952381,29659.505494505494,30382.3007518797,29493.704761904763,29664.87341772152,29492.605263157893,29739.267441860466
42,29100.89344262295,29199.270833333332,30972.52671755725,31531.027027027027,29994.68932038835,30718.183333333334,30161.59836065574,26895.86013986014,30448.56976744186,30535.67777777778,31411.206106870228,30418.346153846152,30594.208588957055,30455.422413793105,30780.154761904763
43,28679.14285714286,28723.560283687944,30462.9765625,31060.069444444445,29499.532710280375,30336.0,29706.54098360656,26384.358208955226,29965.308510638297,30102.154761904763,30912.61654135338,29940.51485148515,30213.900621118013,29979.295652173914,30324.10714285714
44,28182.25806451613,28315.237410071943,30040.223076923077,30510.087837837837,29046.590476190475,29845.48305084746,29277.520661157025,26078.211267605635,29420.284090909092,29688.766666666666,30394.880597014926,29544.39423076923,29700.38125,29548.573913043478,29780.058823529413
45,28186.182608695653,28174.090277777777,29875.228346456694,30232.1677852349,28756.548076923078,29642.525423728814,29024.08130081301,25990.160583941604,29246.393258426968,29467.25287356322,30186.705426356588,29324.81730769231,29468.64457831325,29312.92372881356,29639.409638554218
46,27926.85,27990.376811594204,29663.408,30303.98581560284,28717.216981132075,29570.177966101695,29051.394957983193,25790.422222222223,29098.79120879121,29273.654761904763,30132.282442748092,29218.281553398057,29417.01282051282,29301.324561403508,29398.321428571428
47,27942.85,27968.098591549297,29651.734375,30211.97122302158,28712.673267326732,29448.666666666668,28898.27049180328,25831.04411764706,29111.340909090908,29325.494252873563,30015.251908396946,29127.83653846154,29313.64457831325,29250.916666666668,29378.678571428572
