frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,23987.35880597015,24277.345044572627,25360.73398548438,25969.803677663604,25351.98117069177,25195.059955588455,24994.060217352573,22218.211897219287,26318.66826923077,26084.893391220452,25816.255986316988,25401.024642289347,25063.93161094225,25140.6177868296,26084.116255829445
1,23969.024375743164,24279.837880377756,25376.901417322835,25976.935675675675,25342.12781646866,25205.48022181146,25005.50551994302,22222.749472202675,26328.420440881764,26092.35527589545,25804.203894616265,25400.619634340223,25078.708228167594,25164.80487804878,26104.656353958748
2,23965.744617224882,24294.47619047619,25382.333438685208,25968.691851052346,25353.09668168783,25208.138683431953,24986.000357270455,22240.769796776454,26315.477755511023,26068.74334140436,25791.304,25411.121368881813,25067.16346153846,25162.507807196198,26087.564537591483
3,23966.25029797378,24261.648691099475,25357.854442344047,25963.02320561252,25362.007374027038,25199.31728989263,24997.436473947182,22233.05651105651,26317.864508393286,26070.3566940551,25807.510882016035,25400.664815549386,25066.029888551166,25134.930169491527,26081.146813480147
4,23974.21505376344,24271.658805031446,25395.351104100948,25997.674054054052,25366.766489143793,25231.440326167532,25015.72250935662,22252.845856741573,26324.919503404086,26087.532850241547,25827.322266742987,25402.078874355924,25067.622087132724,25144.83299389002,26083.19746919747
5,23954.801431127013,24292.59947643979,25368.763182822862,25971.97247706422,25343.76001635323,25198.775472397185,24985.01497059348,22214.587759409074,26316.754823151125,26086.387626872885,25811.23499142367,25404.84966283221,25053.687246963564,25153.53120759837,26076.61860465116
6,23995.81845416417,24286.72068785826,25398.64161667193,25979.35896047645,25369.885446392174,25223.12652608213,25020.033487709297,22252.89950808152,26350.23977546111,26103.21435499515,25823.591871780194,25413.239224990113,25059.648073022312,25146.434782608696,26101.52380952381
7,23969.31818181818,24270.66142557652,25374.541377132027,25962.724175229854,25327.52503052503,25205.464961067853,24986.937578027464,22201.30143708377,26308.583467094704,26074.48376151236,25801.010838562463,25392.49543106873,25035.261796042618,25149.564833672775,26058.47568287808
8,23932.772045590882,24246.535248041775,25359.215165876776,25952.300870511426,25336.86729277256,25214.00222057735,24992.858621920743,22219.194532071502,26310.532128514056,26075.54374093765,25800.02408256881,25382.81490289338,25056.4266802444,25140.42380952381,26067.292333333335
9,23898.707082833134,24212.478829064297,25300.938072669825,25910.88786565547,25288.364157119475,25136.69896449704,24932.932668329177,22164.89014084507,26268.083668543844,26015.505558240697,25741.979393245565,25347.415011914218,25024.374493927124,25106.508152173912,26019.318242343543
10,23908.65155131265,24225.283776734483,25312.98734977862,25898.681081081082,25295.60841159657,25160.90421597633,24952.250044555338,22196.4433532094,26268.07490938381,26034.251575375667,25740.937535816618,25338.3312152502,24989.835798062213,25089.91094493542,26020.760826115922
11,23872.104379124175,24196.783359497644,25281.866856419987,25853.604663774404,25237.908271908273,25099.838458688402,24892.45412435418,22150.53270042194,26230.988344051446,25960.056038647344,25721.404230989137,25309.345087163234,24976.07606490872,25068.96,25999.97036297036
12,23869.685851318944,24200.49217118998,25295.09949463045,25881.98428184282,25245.703188879805,25120.302325581397,24900.391506067095,22149.663268892793,26209.28226779252,25988.461315280463,25715.073714285714,25314.63957176844,24981.099847172696,25060.684782608696,25977.949733688416
13,23869.14883442917,24168.283028720627,25271.667507886435,25864.266811279827,25240.499795333606,25103.69644180875,24889.472558802565,22130.429676511954,26203.655394524958,25963.43501454898,25714.148169336386,25303.133889551053,24943.67530487805,25053.413722826088,25964.512632978724
14,23848.427971188474,24154.448150078166,25234.96937164509,25837.195557963165,25223.214838972686,25057.8306780289,24865.328517924023,22126.26011967617,26193.623993558776,25949.070320077593,25679.23711340206,25258.805379746835,24920.928934010153,25026.10129163834,25944.776154101626
