frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,3850.868836306272,3548.0631186926803,4188.739296958367,4102.366390363608,3211.970285618907,4229.140044411546,3786.4821555287817,3536.10662129923,2667.197584427766,3168.353667603078,4120.313244452242,3729.61345294875,4201.168389057748,3951.51379211777,3204.8837441705546
1,3985.9089575901708,3602.493200703324,4235.394582677163,4028.2858008343937,3256.4721835313394,4286.0323832305585,3943.1755145397365,3451.004150985729,2786.844619359199,3154.8038150136417,4104.385657622541,3649.2089370883477,4204.690464642863,3953.829050522647,3299.1954978931026
2,3813.3268113465456,3524.326530612245,4209.5181238147925,4057.7067503462567,3312.7795087883605,4244.186316568048,3831.8370411035285,3584.0532801466215,2738.136702320302,3186.6162091574406,4123.696,3649.4170926566476,4173.779576436224,3867.1530623690196,3315.3243512974077
3,3884.258035359555,3612.2679755671925,4248.526510036907,4079.754572165257,3359.9728239927645,4173.1054743350105,3874.563526052818,3590.599977493108,2787.135491606714,3054.7444295404057,4067.1383717153076,3704.998645989075,4161.4669667947455,3935.866290685466,3256.6438841942727
4,3865.615591397851,3606.23160592746,4221.410800660957,4025.58111835974,3227.867174222545,4176.264591865256,3872.311678677568,3551.442022046307,2772.685434867519,3147.251240667545,4115.610064084081,3710.7838707421142,4135.471662867276,3900.4104843708483,3281.85014985015
5,3893.99195730274,3536.782468004654,4230.5546466345,4121.377173285429,3333.269983646769,4192.224527602815,3896.203516801481,3527.623919423044,2745.9661070814327,3133.2752944754284,4024.980393191716,3604.659952552407,4201.3380694921325,3976.9161608226823,3294.3690496698255
6,3830.637545835827,3606.164204228073,4141.575437591637,4126.985867109757,3303.3310484531867,4205.807358215388,3855.4202938033086,3538.9265788750017,2782.3435578722238,3107.1117319613695,4190.110418296143,3717.1107750098854,4147.327235619665,3963.0221139430287,3196.666666666668
7,3863.038961038961,3572.1125470262195,4203.204776714127,4154.010518647698,3287.6811550419807,4272.535038932147,3924.447667874174,3607.355051465849,2720.2653701145973,3198.7250296964303,4125.546413345935,3687.235338162038,4174.33568823411,3938.513427196791,3300.653728886624
8,3784.3618126768342,3623.373842867317,4132.2123150392545,4135.779129488576,3321.524459804761,4247.359123960465,3808.802668401837,3552.5535595315523,2733.3996896677636,3062.7259219836997,4088.3656233135443,3705.9105873026965,4110.511970062347,3887.5338175948345,3217.891574712641
9,3761.3710421668657,3645.7268446945673,4167.855820459947,4187.934052152748,3378.9789801354273,4229.109368836293,3848.546323267463,3584.801035625518,2695.2913314561556,3222.685452995258,4163.829430283848,3699.915085173161,4186.435632655153,3926.0349512743633,3368.5492275359757
