frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,183.0,132.0,157.0,151.0,138.0,103.0,105.0,78.0,126.0,81.0,132.0,161.0,94.0,114.0,139.0
1,183.0,135.0,158.0,157.0,139.0,100.0,111.0,72.0,125.0,82.0,132.0,161.0,93.0,114.0,146.0
2,182.0,130.0,155.0,156.0,143.0,102.0,104.0,66.0,127.0,80.0,131.0,157.0,92.0,117.0,140.0
3,183.0,135.0,148.0,152.0,136.0,102.0,105.0,75.0,126.0,80.0,125.0,163.0,94.0,110.0,139.0
4,186.0,134.0,151.0,150.0,138.0,104.0,105.0,75.0,124.0,81.0,127.0,158.0,97.0,114.0,143.0
5,177.0,134.0,154.0,153.0,141.0,101.0,105.0,72.0,126.0,81.0,131.0,166.0,98.0,113.0,141.0
6,186.0,136.0,155.0,154.0,140.0,99.0,103.0,73.0,129.0,81.0,132.0,164.0,96.0,111.0,142.0
7,183.0,133.0,153.0,153.0,139.0,100.0,103.0,80.0,126.0,83.0,127.0,166.0,95.0,116.0,144.0
8,179.0,133.0,153.0,151.0,138.0,99.0,104.0,77.0,127.0,79.0,128.0,164.0,95.0,116.0,140.0
9,182.0,134.0,151.0,157.0,141.0,101.0,102.0,78.0,127.0,82.0,132.0,159.0,100.0,112.0,138.0
10,178.0,137.0,153.0,152.0,140.0,101.0,101.0,82.0,124.0,84.0,130.0,166.0,98.0,113.0,138.0
11,183.0,134.0,151.0,151.0,139.0,98.0,99.0,80.0,122.0,83.0,129.0,163.0,97.0,114.0,137.0
12,185.0,133.0,153.0,154.0,142.0,102.0,100.0,77.0,126.0,83.0,129.0,165.0,98.0,114.0,137.0
13,179.0,132.0,154.0,154.0,139.0,100.0,102.0,76.0,123.0,85.0,127.0,161.0,99.0,112.0,139.0
14,182.0,135.0,150.0,154.0,136.0,100.0,102.0,70.0,127.0,81.0,129.0,157.0,100.0,115.0,138.0
15,181.0,135.0,154.0,152.0,139.0,99.0,102.0,79.0,126.0,84.0,128.0,163.0,97.0,112.0,141.0
16,183.0,132.0,154.0,150.0,142.0,103.0,100.0,71.0,126.0,84.0,129.0,160.0,96.0,113.0,138.0
17,181.0,138.0,154.0,153.0,140.0,101.0,104.0,75.0,122.0,85.0,131.0,162.0,95.0,108.0,137.0
18,186.0,133.0,153.0,149.0,142.0,97.0,101.0,79.0,127.0,81.0,128.0,168.0,95.0,113.0,137.0
19,183.0,133.0,151.0,154.0,138.0,100.0,102.0,78.0,126.0,83.0,130.0,165.0,96.0,113.0,140.0
20,183.0,131.0,148.0,157.0,137.0,101.0,103.0,73.0,126.0,83.0,129.0,165.0,94.0,117.0,138.0
21,179.0,133.0,149.0,157.0,136.0,101.0,102.0,75.0,127.0,82.0,134.0,164.0,97.0,115.0,140.0
22,179.0,134.0,151.0,152.0,140.0,99.0,102.0,77.0,129.0,80.0,129.0,165.0,97.0,115.0,138.0
23,177.0,130.0,148.0,151.0,143.0,99.0,104.0,74.0,131.0,84.0,130.0,165.0,97.0,113.0,138.0
24,177.0,133.0,145.0,150.0,140.0,100.0,104.0,73.0,126.0,83.0,130.0,166.0,97.0,116.0,141.0
25,174.0,135.0,148.0,151.0,143.0,99.0,101.0,70.0,136.0,80.0,132.0,168.0,97.0,115.0,139.0
26,180.0,137.0,152.0,150.0,139.0,94.0,107.0,72.0,124.0,83.0,129.0,162.0,96.0,111.0,141.0
27,178.0,133.0,149.0,151.0,139.0,99.0,107.0,65.0,130.0,77.0,132.0,157.0,95.0,113.0,142.0
28,178.0,139.0,150.0,153.0,138.0,96.0,101.0,70.0,126.0,80.0,132.0,161.0,96.0,109.0,142.0
29,175.0,138.0,151.0,155.0,140.0,98.0,106.0,70.0,136.0,80.0,128.0,165.0,97.0,114.0,141.0
30,171.0,130.0,154.0,149.0,140.0,98.0,107.0,73.0,131.0,82.0,130.0,166.0,96.0,113.0,145.0
31,175.0,135.0,154.0,151.0,139.0,104.0,107.0,73.0,121.0,80.0,133.0,157.0,96.0,113.0,140.0
