frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15
0,1.1525804557536152,1.1601782310083035,1.1432040309851836,1.1685341950534711,1.165351121139947,1.1372826183474793,1.1417234993991023,1.191938529713222,1.1674986072118312,1.1472025550394205,1.1526498941579726,1.153689007120418,1.184627702685313,1.1464621073678365,1.1739244687588815
1,1.1523618004907772,1.1574230140215844,1.1474424683106368,1.1674735906979852,1.1645680022022762,1.1425658462024766,1.141093642983556,1.2001280281498876,1.1658689853984423,1.1474651642840843,1.1505907735025638,1.1526756333681931,1.1840908449053664,1.1468559363944493,1.1722267983980126
2,1.1551027828810299,1.160042071212026,1.1487616508168472,1.1678754098070556,1.1649449497091229,1.141178136682483,1.1449386558592476,1.2028892467299501,1.1677344713727316,1.1470639956481479,1.1519810263384411,1.1570540290408302,1.1881295436000299,1.1476790355649527,1.172606150338866
3,1.153322498805471,1.1582858665015443,1.146539717030781,1.1672561660224297,1.1670091515405796,1.1432172859950473,1.1419440630608246,1.1923416641078313,1.1617663649589447,1.142388105172928,1.1547982978798328,1.1523325107113829,1.1862442701046951,1.1497101843463426,1.172426376253755
4,1.1516109893277466,1.1598383748934233,1.1465800053341535,1.1662040364435682,1.1663901019202791,1.138160966952621,1.1434751183148075,1.1930437323530754,1.1624073931456311,1.148714535236142,1.150176078763386,1.1568914598599422,1.1835159033218094,1.1458922129753553,1.1746488968023872
5,1.1513750958405806,1.1586245108113247,1.1469199867601818,1.165541366122865,1.1649704748277203,1.139846478428313,1.144629481368993,1.1996154106199692,1.1634655617764325,1.1489646931581936,1.1511317905907343,1.156352628411926,1.1835202162964482,1.1462060399174263,1.1736043401440481
6,1.1518394837066266,1.1587560681430613,1.1483549692024726,1.1684578126267744,1.1661564816817545,1.141643759521378,1.1441664288122864,1.1952850528942336,1.1624209200692293,1.1453275719721667,1.1508316883986682,1.1563154805751277,1.1834397627511297,1.149043825890495,1.1738594432725182
7,1.154322054349793,1.1585674024931192,1.1480605584236585,1.1657843479366057,1.1680028362711616,1.1395926260265659,1.1454459012032443,1.18665621094148,1.16479155879181,1.1474097783661066,1.1540202180394976,1.154133624786487,1.1842822648167282,1.1473087174885637,1.174743865190502
8,1.1517701488640466,1.1578272085635748,1.1475242460596573,1.1668348695960873,1.1642097068047792,1.141831393483257,1.1427211373646964,1.1936426890525822,1.1640197787177142,1.145959407545299,1.1521541884336914,1.1548507442752005,1.1844964520504475,1.1461710472567845,1.1738011487340712
9,1.1555109870607034,1.1578148044754941,1.1458856379338194,1.1654211865248518,1.1678142146418318,1.1430514698256915,1.147338564817777,1.1910214460641464,1.1658885900843405,1.1499940040430872,1.1493808212372882,1.1565636206821244,1.184393981357401,1.1518395930841492,1.174813292662842
10,1.152615579237304,1.1583290004658409,1.1448488309318352,1.168185549622825,1.1656845980163368,1.1408260263786603,1.1459376161324621,1.1905971048566861,1.1647316424589378,1.144442775011092,1.1529455386000667,1.1564921912171178,1.183296711572829,1.1498421518504789,1.173095988540289
11,1.1502899067585843,1.1576252728542733,1.1469480604638802,1.168009784295508,1.1641507770913881,1.1380640526635033,1.146950392772071,1.1900201983533152,1.1639460651081912,1.1459776495515424,1.1528734461065793,1.1549635072726034,1.1844287504187812,1.1445132880006217,1.1774459399915378
12,1.15223418978216,1.1566239786875367,1.1467322286572703,1.1686627196967243,1.1646404355756756,1.1412132189775237,1.1456160258459454,1.1921810460227775,1.163573962873078,1.148187509567734,1.1541430389845342,1.1556129925825753,1.1807848518419437,1.1456397231079303,1.1773019209040525
13,1.1519656875319815,1.1610591171352465,1.149432409126878,1.1664613542104518,1.1667621293026464,1.1411820380344415,1.146223177024587,1.1923780910060788,1.1623237936478408,1.1481853957893824,1.1526896704875973,1.1555823971889263,1.1815490544581193,1.1485101992150062,1.1756442072887936
14,1.1521250664958556,1.1625331651664117,1.1457195003266356,1.1668987713883132,1.1678870478398196,1.1420078021193814,1.1443737099841267,1.2003549671254963,1.1638239416019565,1.1472633324872366,1.1541271001345819,1.1596125954849805,1.182995421943995,1.1465894356150297,1.1757503590751206
15,1.1516673124115002,1.1554370499080062,1.1475076476671309,1.1679313414679666,1.16403748602725,1.1431107693253635,1.147489995249811,1.1882514111463909,1.1640076259924328,1.1458720056239178,1.150197111625363,1.1531355197809627,1.1843592067264714,1.1470397868976978,1.173626699543915
16,1.151322013813718,1.160634412148988,1.1486072544852526,1.1687055024112687,1.1650232506524156,1.1446508797798396,1.1427913879316978,1.1966308293069057,1.1629723330137287,1.1489717330088487,1.1554635469084724,1.1518426289101116,1.185634396780529,1.1500002239897986,1.1752611270641977
17,1.1522600662755478,1.1575572133777026,1.146945274760113,1.1665701027655107,1.166227589952194,1.1401835332669406,1.1444411300960835,1.1952708419489075,1.1663598571887037,1.1487515721078,1.148036420032619,1.1578504421487557,1.182659256421975,1.1493161705127708,1.1762229829174393
18,1.1536492821063742,1.158052517505618,1.1471590061374304,1.167704105378097,1.1653551936892041,1.1417750793661778,1.1439245134734985,1.1919316687813406,1.1637237475253566,1.1483200393133375,1.151100090941793,1.1566064623861223,1.1861920265844812,1.1485111706187359,1.1780810180512598
19,1.1510777449082814,1.161776026997898,1.1480578702083313,1.168330701084501,1.1663445321772015,1.144879173421937,1.1446295201237686,1.1923436398862353,1.1643325328444416,1.1473482570375202,1.1525694869058452,1.1572817079350022,1.185713811381084,1.1471720675195274,1.176252790600293
20,1.1541443989972684,1.161022241651306,1.1509725002930453,1.166503705103295,1.166021123543391,1.1418885293578236,1.1454323168731095,1.1969825063581492,1.1642608010033586,1.146462075227926,1.1499625753217821,1.1554135801214127,1.1849695994061733,1.1497126602605314,1.1753753723824252
21,1.1519206872661436,1.16086190618676,1.1496980023153125,1.1658401775663878,1.1704753180336163,1.1437846231848603,1.14569378447894,1.1927109025653775,1.1612444665604926,1.1482984005174808,1.1525292650944239,1.1582661798306042,1.1860536783981515,1.148042702057805,1.177157407863185
22,1.1510301863263668,1.1584308508109598,1.1437334053291532,1.1671129614406643,1.1634842986883929,1.1412567350571383,1.144108527648606,1.191571505741001,1.1570472746030271,1.149512350525186,1.1528734319460627,1.157024076215186,1.185343263824681,1.1467783104620883,1.1766652619988156
23,1.1507265438047591,1.1588805949611416,1.1480476689929315,1.1686449913448034,1.166037327013362,1.1414972364803602,1.146611717307688,1.2002166813529294,1.1609214904960958,1.1485626629395662,1.1522155364070603,1.15831200289347,1.1881994405500491,1.1495753533718214,1.1747382856193769
24,1.1564718837738657,1.1544527734979626,1.1451414141576286,1.170385519038215,1.1653575142321477,1.1434200420312086,1.1451687161726427,1.1965728740982915,1.1633756300969695,1.1470122655264927,1.1525969118161692,1.1550588772560844,1.1855258370431265,1.1464073211094716,1.1736805696010701
25,1.1529520858165292,1.1603657058753007,1.1490647320856215,1.16980325168678,1.1637467809113693,1.144547495344541,1.1438380869519464,1.2027461731976223,1.1586000775608292,1.1507263385714153,1.150819111770749,1.1555783792627972,1.186330274509435,1.147763402870465,1.1741658232953858
26,1.15381559433832,1.1555151041232896,1.1461426690636112,1.168345858236464,1.1661917690118022,1.1416974854392195,1.1423337107006164,1.2009759231398576,1.1638032473819009,1.1469699695761786,1.1531869402292823,1.1555548386394032,1.1878926648338084,1.1499569521988882,1.1768665245452519
27,1.1570051344503192,1.161077762387478,1.1488438414880482,1.1681082150082307,1.1684338452281362,1.1435705496731312,1.1442596516269397,1.2096100112656658,1.1623728501115425,1.1500931059148114,1.154449124217138,1.1548488725769472,1.1849024033219318,1.1486881774319944,1.1703510915459947
28,1.155715485426499,1.1623449568639035,1.149959650178223,1.169920255393132,1.167868351370419,1.1431045289029347,1.1436552814338672,1.2006174919108725,1.1648835552052978,1.1537279950521833,1.1534356619555648,1.1584543234083151,1.1856095359626044,1.152729189433519,1.174902652061239
29,1.1498542988790896,1.1502049160566763,1.1356525980529208,1.1650016373305077,1.1613174174905343,1.138038965832672,1.1427361775682765,1.193432683673743,1.153221027113233,1.1480253147458348,1.1526489152254917,1.1534735436038384,1.1797399897279526,1.1404706337105657,1.1742689227239813
30,1.1575581890203297,1.1579692307802805,1.1497281294722625,1.168058798595729,1.1675555280432615,1.1431333774466188,1.1440035875518701,1.200573669140901,1.1626682959827919,1.150708913648321,1.1536213115187792,1.1561328857031312,1.1853722840748102,1.1485035885236792,1.1744834840494043
31,1.1551616699013514,1.1587602737932297,1.145530440238819,1.167613544077937,1.1686651563792456,1.1431707475803978,1.1439621005674185,1.2024381404704532,1.165923809098699,1.1537235564099941,1.1527803331491044,1.158710812798214,1.1876102781237412,1.1472847394852648,1.1756152807815163
32,1.152986217370131,1.1610062754280015,1.1454156978312804,1.1676652056475179,1.166783035743116,1.1418161432969232,1.144572973349869,1.2024311583855305,1.1604086648372747,1.150311019034056,1.1552232435962777,1.154708643865662,1.184339424970664,1.1471917468726607,1.1754007843558703
33,1.1535840862242097,1.1576351307966795,1.1449763327325084,1.1684182299457375,1.1668641872239025,1.1414593725857267,1.1437972205327964,1.2102894320826216,1.1653189608185177,1.150144779791,1.1537954603698588,1.1566563010527642,1.1864131045816546,1.1478598112173888,1.1756611491251892
34,1.155596631546984,1.1617585913994128,1.1458005231589388,1.167072175060728,1.1675601090205172,1.1422585589037717,1.1452665609348487,1.1968279027843347,1.1615715879953743,1.1517233481453084,1.1546061906749403,1.157621357113278,1.1848436855424307,1.1503686057484712,1.175859270353262
35,1.1556479872084515,1.158148299078923,1.1468264701352902,1.1702587523951826,1.1721414016555034,1.1399810954083804,1.143619706115625,1.2120720498183242,1.1642447155010283,1.1542789291225863,1.1550818421483096,1.1572943295139781,1.1883327700147086,1.1504503296607465,1.177507240693718
36,1.1521887289384258,1.1600626338237197,1.149795618520983,1.1689398903941188,1.167561846484539,1.13983611793284,1.1424404441874743,1.2061340530465166,1.160126688668358,1.1529482253740715,1.1485650710059165,1.1563385978868452,1.1862859058664856,1.1489648368352294,1.1746891669239696
37,1.152147392978256,1.158603049917993,1.1485320578604403,1.1736265184799806,1.1680348786857855,1.141518402226598,1.143658964235154,1.2008995072979867,1.1609633874761034,1.1516171640634396,1.1521563140424875,1.1586604168381378,1.1886304765528757,1.1528332539076638,1.177136511450271
38,1.154295501924545,1.1616169732877195,1.1483007977592081,1.1687574606310787,1.1682465825356183,1.1444016210364942,1.142134951347934,1.2108925086598283,1.1591511042696945,1.1468842238593897,1.1538109518296025,1.1581822699328361,1.186956497988406,1.152621739140573,1.1793738970595098
39,1.1536237377097813,1.1575482959622223,1.1455213577570997,1.1724878105547147,1.1663945704435827,1.142479041044204,1.1404316430528048,1.2053987436104396,1.1612376133430309,1.1510871069147426,1.1516547573689704,1.1569908372398663,1.1886424378828655,1.1500103503086485,1.1779851034269584
40,1.1517402547097808,1.1608410935968072,1.1518437247292503,1.1715133403560105,1.1652426464249124,1.1415117248767874,1.1438059993035492,1.2063109591577006,1.1622738821730538,1.1489787297864336,1.1516963085311442,1.1617160763695258,1.1907970434003918,1.1497882207387375,1.1758339398198392
41,1.1530502819642299,1.1613139672815234,1.1483683343757076,1.1677487947106842,1.1679211520016801,1.1447934804981623,1.144114534118787,1.203733086195201,1.1623443307817498,1.1468573328557257,1.1544419976488323,1.1598027678845821,1.189523120876028,1.1547877971210532,1.1772363643183859
42,1.1529984495715777,1.161308867982672,1.1479686262144537,1.170758223926852,1.1664895647457771,1.1395753766579173,1.143987987563584,1.211787620391647,1.1632577630287129,1.1531880339000802,1.1501456161548738,1.1576857701365997,1.186671688013825,1.1521261729593695,1.1779608979796778
43,1.1501959682209681,1.159073178167294,1.143828745798495,1.1699627403631083,1.1665992555155678,1.140536466016177,1.1442033958154767,1.2085207102703452,1.1656435449207818,1.147858388807119,1.15306751316609,1.1595912879270183,1.193209378417718,1.148103828260755,1.1789262028893273
44,1.1531215787771094,1.1609327086800643,1.1436762226911337,1.167638421130946,1.1625492995663163,1.1434117718185108,1.1411782240184691,1.2102787287599268,1.1674717587149541,1.1510245926088516,1.151344937658573,1.158184826723317,1.192300394520113,1.1499230995356886,1.1779123693784619
45,1.153192297617681,1.1549710216891753,1.1434597865496885,1.1694070664153635,1.1637310924000936,1.1400057190564938,1.1408752079282634,1.2156909994363807,1.156822979801059,1.1491829103378317,1.1527012105185144,1.1589685482135201,1.191436279561883,1.1489829418225361,1.1775537823075415
46,1.1521287393610788,1.158622039493961,1.1484822850755205,1.1728077777381067,1.1643372793554132,1.1411361787335488,1.1451938430272226,1.2135884959855359,1.1594346865087228,1.14489711849617,1.1543414466323256,1.1611266702512704,1.1917427974188195,1.15042445858648,1.1815672368623509
47,1.1533360390062244,1.1629326904480553,1.145640997019403,1.1678128603240017,1.1581389097777892,1.1391278123101576,1.1385563219550268,1.2056895567765644,1.1561796896171266,1.1479443187000338,1.1503860547830365,1.1571051502506582,1.1900772491956357,1.1473700498975727,1.1758097527824225
48,1.1518608074634493,1.1587315985633022,1.1438682577762915,1.1647342307782864,1.1617372491296067,1.1429726349162836,1.1386197321855234,1.206411557610593,1.1570066635732654,1.1489504943122795,1.1546379969887979,1.1586262308490323,1.1934294696778958,1.1481919871323398,1.1800597259598924
49,1.1524775672702994,1.1522327452678494,1.1437497060008899,1.1693474528038974,1.1595610613273661,1.1397887875805024,1.137100221584365,1.198038505095606,1.15611483743882,1.1450050229121131,1.152498301821475,1.1578353287529453,1.1904348674563878,1.147058038103424,1.1751914389758373
50,1.1535722203033407,1.1548948589039274,1.1415763803767551,1.1658750214010172,1.1624173268805849,1.1380476818676002,1.1419046377914226,1.2069421033900642,1.1578804718369387,1.1439706387362478,1.1544638705764063,1.1544319709592221,1.187785474758986,1.1496314485487493,1.1753432787924027
51,1.155589230359217,1.157701764342461,1.1411925485634875,1.1644201262413048,1.1610330767482893,1.1361245611774364,1.1393607476683616,1.2100298769075604,1.158770330036753,1.1461055570560512,1.1544731023301456,1.1529109142245635,1.1902727927954853,1.1420556020036177,1.173179816415502
52,1.1534932348679818,1.1525762811255262,1.1421806734665707,1.1626133222671724,1.161105809335004,1.1333691508890933,1.1365186824422435,1.2074350345419687,1.155440680132782,1.146204929346204,1.1516535714967804,1.1537970762132292,1.1864214304003184,1.144478503713332,1.1746425491316552
53,1.1589583447180167,1.1551029557396668,1.1423418084759422,1.1660216151922393,1.1612949341938466,1.1350238706514402,1.1377640093094454,1.2053234475902375,1.1589657091791388,1.1445750325643667,1.1530056465618181,1.1533483191632539,1.1894674361084387,1.1460614926678028,1.1733974452246625
54,1.1530016040061652,1.152007726049954,1.1430284508372095,1.1642765651807074,1.15954741862344,1.136594667112026,1.1386094877107213,1.2050061103274259,1.155475165139957,1.143897249110291,1.1594466145287432,1.1539868848034895,1.1888143295381788,1.1435148543097287,1.175933443526928
55,1.154290764383057,1.1522792811144138,1.1415572720559977,1.1644569247440322,1.1597309994538298,1.137513471363517,1.1368877718810193,1.212722845177083,1.1592377796196964,1.1466379742371702,1.1545212809003877,1.1538623048520351,1.186735438604349,1.140689457389633,1.17760917008081
56,1.15542968242768,1.1524518120547913,1.1443031845407023,1.1655947323260551,1.161639555281934,1.133137094233928,1.139671909739933,1.2112920231817292,1.1613779229032233,1.1464126323720023,1.1564225563708137,1.1540860695756745,1.1883393434506588,1.1419925109335414,1.171330143811709
57,1.1584375364346948,1.1551576772208865,1.1428804473299647,1.1658910064902908,1.1619853122288333,1.135438697336718,1.136779431404603,1.2077180869808455,1.1595091876505643,1.1436141261333477,1.1551733406928362,1.1514840380500986,1.191808545111032,1.1417574185607937,1.1753229078657859
58,1.1556049190511861,1.1528760683426735,1.1452065749932576,1.165917546132088,1.1590779927477828,1.136239094535194,1.1331754426699687,1.2072407877182518,1.1595280695643744,1.1431514782151448,1.1531430617373848,1.1550918118308708,1.1850203325986242,1.1459989893868696,1.1744323809042883
59,1.1550404571086228,1.1569454348009645,1.143242331727846,1.1678016268223828,1.1599442805685047,1.1383432570230794,1.1390904472434602,1.199788047151991,1.1578636730541267,1.1462095733127171,1.1530738203264943,1.155479495182805,1.188176873439557,1.1448536885244827,1.176423098411776
60,1.1562332093226648,1.154145718276905,1.1433179135494032,1.169963753794529,1.1634065951443275,1.1378432901682702,1.1415194485397337,1.2155110243956075,1.1576991393989347,1.1472850627171873,1.1549395576822388,1.159055689274898,1.1892017719859156,1.1488870731750696,1.1758889692930325
61,1.1533150106407049,1.160261170030034,1.1433352063968083,1.1724633642349533,1.1640036115513719,1.1388411433869634,1.1410689221027293,1.213838583686027,1.1619380645548547,1.1477304005252207,1.1544527583406317,1.1592843171945382,1.1927148511894823,1.1482584061090695,1.1766877326652232
62,1.1578775394230216,1.1568338944566627,1.1459160953064353,1.167718314301696,1.1613327725456515,1.1425196150706307,1.1412744301405462,1.2079789270026196,1.1601094056908248,1.1501677070223562,1.1508047355804252,1.1583227454067202,1.1911274159232448,1.1480916430974395,1.1792253179720782
63,1.1550052298580735,1.1568789086944171,1.1426521251145847,1.171111585611739,1.1627997320410133,1.1403950378929475,1.139573147661597,1.2088301917184705,1.1627704501033387,1.146873988706438,1.1519705278954002,1.160191583913426,1.1884694631981927,1.1487157520939186,1.183171317228661
64,1.1518823714242992,1.154732856185809,1.1446470593882432,1.169740936464182,1.1625419477579968,1.1395417700684487,1.1446531534632491,1.2115764493201742,1.1635246177424337,1.14586221013986,1.1549337515885174,1.1598695191078787,1.1932274403387435,1.1510918549898868,1.1779134453463236
65,1.1555307381195388,1.1567262773915143,1.1451343058002308,1.1696225151477537,1.166408151604285,1.1382954548011348,1.1396847711452531,1.2124704664583745,1.162513866721356,1.1456470386334527,1.15188660906248,1.1584563721993568,1.1885656947984546,1.1468648585078651,1.1793192744608438
66,1.1548598441865479,1.1588836683186505,1.1442820250237915,1.1712357869693735,1.1655432465246571,1.1369022565492555,1.1393213316250326,1.2094088789329491,1.1611018494638499,1.1469292966768767,1.1547507533870678,1.1587838845097984,1.186986222193484,1.1493784362816775,1.179231847354083
