frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,147.0,0.0,144.0,89.0,112.0,148.0,85.0,129.0,110.0,160.0
1,144.0,0.0,143.0,88.0,111.0,152.0,89.0,127.0,113.0,165.0
2,144.0,0.0,143.0,89.0,113.0,147.0,89.0,129.0,111.0,167.0
3,144.0,0.0,140.0,88.0,112.0,148.0,91.0,128.0,116.0,163.0
4,146.0,0.0,143.0,87.0,113.0,149.0,89.0,132.0,118.0,161.0
5,145.0,0.0,137.0,90.0,114.0,150.0,89.0,129.0,119.0,161.0
6,148.0,0.0,141.0,86.0,118.0,147.0,89.0,130.0,113.0,169.0
7,148.0,0.0,135.0,81.0,111.0,151.0,89.0,130.0,119.0,171.0
8,142.0,0.0,145.0,87.0,117.0,146.0,89.0,128.0,114.0,168.0
9,139.0,0.0,137.0,85.0,120.0,148.0,85.0,131.0,114.0,161.0
10,145.0,0.0,136.0,87.0,120.0,148.0,88.0,132.0,119.0,171.0
11,139.0,0.0,137.0,83.0,114.0,147.0,88.0,133.0,114.0,168.0
12,142.0,0.0,138.0,83.0,115.0,149.0,83.0,130.0,112.0,163.0
13,143.0,0.0,141.0,82.0,114.0,150.0,82.0,135.0,115.0,163.0
14,142.0,0.0,140.0,85.0,114.0,148.0,88.0,134.0,115.0,163.0
15,143.0,0.0,138.0,82.0,114.0,145.0,84.0,130.0,116.0,166.0
16,142.0,0.0,141.0,84.0,116.0,151.0,84.0,131.0,114.0,164.0
17,144.0,0.0,139.0,84.0,117.0,151.0,89.0,131.0,116.0,160.0
18,145.0,0.0,143.0,81.0,113.0,150.0,89.0,130.0,115.0,162.0
19,146.0,0.0,138.0,87.0,114.0,150.0,90.0,132.0,115.0,164.0
20,144.0,0.0,144.0,83.0,114.0,149.0,93.0,128.0,111.0,163.0
21,142.0,0.0,137.0,84.0,111.0,150.0,92.0,125.0,112.0,166.0
22,147.0,0.0,140.0,87.0,116.0,149.0,90.0,126.0,115.0,163.0
23,146.0,0.0,144.0,81.0,115.0,151.0,88.0,126.0,111.0,168.0
24,142.0,0.0,143.0,84.0,112.0,146.0,87.0,129.0,112.0,163.0
25,145.0,0.0,136.0,85.0,114.0,149.0,88.0,131.0,109.0,161.0
26,143.0,0.0,144.0,83.0,110.0,148.0,90.0,131.0,111.0,163.0
27,143.0,0.0,140.0,83.0,113.0,147.0,92.0,133.0,110.0,161.0
28,142.0,0.0,143.0,80.0,118.0,151.0,90.0,128.0,114.0,162.0
29,146.0,0.0,141.0,83.0,118.0,147.0,90.0,129.0,111.0,158.0
30,148.0,0.0,135.0,85.0,114.0,150.0,92.0,131.0,115.0,160.0
31,142.0,0.0,140.0,85.0,111.0,144.0,87.0,132.0,114.0,160.0
32,143.0,0.0,140.0,80.0,115.0,147.0,84.0,129.0,109.0,162.0
33,137.0,0.0,145.0,84.0,115.0,149.0,92.0,130.0,111.0,164.0
34,142.0,0.0,137.0,88.0,110.0,145.0,87.0,132.0,111.0,160.0
