frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,29747.108843537415,,32654.194444444445,32592.65168539326,32865.919642857145,31822.067567567567,31637.694117647057,31212.581395348836,32885.86363636364,33851.325
1,29778.159722222223,,32749.832167832166,32668.625,32813.67567567567,31739.75,31545.303370786518,31279.834645669293,32832.50442477876,33899.92727272727
2,29846.465277777777,,32634.545454545456,32648.415730337078,32792.83185840708,31889.585034013606,31595.280898876405,31207.108527131782,32846.882882882885,33832.05988023952
3,29761.29861111111,,32697.992857142857,32562.261363636364,32914.125,31733.912162162163,31632.384615384617,31279.9296875,32854.68103448276,33841.11656441718
4,29754.58904109589,,32642.979020979023,32540.827586206895,32878.29203539823,31908.21476510067,31655.955056179777,31240.780303030304,32841.41525423729,33938.894409937886
5,29855.889655172414,,32813.90510948905,32546.977777777778,32957.35964912281,31821.933333333334,31586.61797752809,31224.945736434107,32932.64705882353,33841.950310559005
6,29828.52027027027,,32681.27659574468,32679.0,32930.69491525424,31910.65306122449,31662.078651685395,31299.453846153847,32918.30973451328,33985.80473372781
7,29881.722972972973,,32775.07407407407,32693.962962962964,32985.90990990991,31933.324503311258,31694.61797752809,31400.669230769232,32984.3025210084,33869.25146198831
8,29963.802816901407,,32648.924137931033,32732.620689655174,32927.094017094016,31950.77397260274,31682.52808988764,31384.890625,32785.12280701754,33967.22619047619
9,29993.338129496402,,32835.48175182482,32704.65882352941,32870.933333333334,31886.858108108107,31791.670588235294,31288.664122137405,32975.38596491228,34020.81366459627
10,29960.124137931034,,32799.52205882353,32734.954022988506,32961.2,31962.527027027027,31753.659090909092,31351.560606060608,32885.24369747899,34015.9649122807
11,30016.640287769784,,32835.89781021898,32809.67469879518,33086.28070175439,32067.36054421769,31836.715909090908,31353.774436090225,33012.333333333336,34011.880952380954
12,30039.281690140844,,32786.210144927536,32861.65060240964,33112.69565217391,31994.71812080537,31864.09638554217,31495.453846153847,33036.75892857143,34009.33128834356
13,30026.433566433567,,32735.028368794327,32932.79268292683,33095.745614035084,32009.82,31910.69512195122,31363.992592592593,33002.19130434783,34086.96319018405
14,29999.823943661973,,32741.878571428573,32797.2705882353,33034.19298245614,31999.905405405407,31817.170454545456,31366.626865671642,33028.93913043478,33973.93865030675
15,29994.412587412586,,32782.19565217391,32818.45121951219,33035.23684210526,32038.15172413793,31805.619047619046,31383.13076923077,32906.44827586207,34052.22289156626
16,30061.922535211266,,32777.085106382976,32816.107142857145,33192.56896551724,32007.059602649006,31941.964285714286,31394.6106870229,32906.84210526316,34117.33536585366
17,30005.208333333332,,32759.338129496402,32817.92857142857,33051.58974358974,31916.49668874172,31872.494382022473,31413.076335877864,32934.48275862069,34043.45625
18,29995.94482758621,,32724.944055944055,32843.40740740741,33094.30088495575,31927.466666666667,31786.157303370786,31407.76153846154,32926.05217391304,34049.746913580246
19,29912.321917808218,,32706.992753623188,32664.275862068964,33076.82456140351,31899.646666666667,31740.1,31367.174242424244,32968.46086956522,34010.23780487805
20,29977.916666666668,,32641.777777777777,32723.36144578313,33087.15789473684,31883.34899328859,31648.698924731183,31345.734375,32927.37837837838,33994.79754601227
21,29933.781690140844,,32722.109489051094,32688.083333333332,32993.14414414414,31869.653333333332,31729.858695652172,31334.472,32932.125,33977.427710843374
22,29809.442176870747,,32584.442857142858,32558.080459770114,32929.456896551725,31791.738255033557,31574.4,31328.150793650795,32873.66086956522,33928.10429447853
23,29774.609589041094,,32598.375,32700.0987654321,33020.13043478261,31715.72847682119,31783.909090909092,31320.73015873016,32898.71171171171,33890.34523809524
24,29912.359154929578,,32562.804195804194,32597.85714285714,33007.794642857145,31777.49315068493,31569.16091954023,31221.6511627907,32803.205357142855,33976.865030674846
25,29826.931034482757,,32621.75,32632.317647058822,32979.587719298244,31732.22147651007,31654.68181818182,31187.90076335878,32886.12844036697,33853.90062111801
26,29825.636363636364,,32554.770833333332,32663.807228915663,33051.65454545455,31758.22972972973,31590.555555555555,31268.129770992367,32807.30630630631,33830.079754601225
27,29787.95104895105,,32515.371428571427,32626.939759036144,32968.97345132743,31736.04761904762,31557.804347826088,31194.90977443609,32719.118181818183,33887.683229813665
28,29905.647887323943,,32430.16083916084,32633.925,32811.0,31741.331125827815,31599.555555555555,31252.4296875,32750.008771929824,33839.41975308642
29,29729.164383561645,,32525.106382978724,32559.44578313253,32859.50847457627,31787.05442176871,31616.1,31181.798449612405,32770.97297297297,33892.24683544304
30,29790.756756756757,,32543.414814814816,32567.34117647059,32926.491228070176,31665.72,31500.695652173912,31179.22900763359,32635.130434782608,33799.8
31,29959.12676056338,,32516.785714285714,32516.835294117645,32951.261261261265,31705.895833333332,31545.94252873563,31239.530303030304,32664.85087719298,33825.8625
32,29814.902097902097,,32592.364285714284,32697.5125,32967.54782608696,31720.768707482992,31515.190476190477,31155.24031007752,32827.83486238532,33865.82098765432
33,29850.167883211678,,32523.496551724136,32573.964285714286,32872.46086956522,31717.953020134228,31547.380434782608,31280.023076923077,32812.92792792793,33900.615853658535
34,29835.23943661972,,32496.160583941604,32552.090909090908,33022.836363636365,31708.158620689654,31525.57471264368,31192.803030303032,32686.07207207207,33813.1
35,29919.640845070422,,32484.374100719426,32565.604938271605,32904.919642857145,31736.598639455784,31533.510869565216,31134.194029850747,32610.53982300885,33723.07831325301
36,29823.375838926175,,32451.222222222223,32581.4625,32921.692307692305,31772.426666666666,31516.6511627907,31175.4,32783.10619469026,33808.79113924051
37,29878.657142857144,,32560.718309859156,32669.96153846154,32928.747899159665,31771.919463087248,31573.632183908045,31145.28787878788,32721.834782608697,33892.15757575758
38,29874.297872340427,,32459.471014492752,32585.128205128207,32917.142857142855,31739.006756756757,31405.860215053763,31211.106870229007,32668.73275862069,33799.79141104295
39,29762.517730496453,,32281.38848920863,32411.27380952381,32780.00869565218,31627.49295774648,31444.39285714286,31024.105263157893,32606.391304347828,33778.93081761006
40,29706.422535211266,,32390.731343283584,32502.506172839505,32833.0796460177,31574.324137931035,31298.588888888888,31020.511627906977,32509.43859649123,33613.233128834356
41,29602.503496503497,,32243.463768115944,32371.451219512193,32804.9,31454.274509803923,31276.2183908046,30838.779411764706,32425.973214285714,33602.490797546016
42,29513.3006993007,,32074.75352112676,32221.023255813954,32668.447368421053,31436.04794520548,31296.383720930233,30818.007633587786,32344.43859649123,33395.39634146341
43,29413.675862068965,,32066.68613138686,32127.0875,32544.558558558558,31252.938775510203,31068.426966292136,30684.899224806202,32195.724137931036,33288.53846153846
44,29265.708333333332,,31927.5390070922,32160.325,32441.927272727273,31121.891156462585,30914.45882352941,30594.138461538463,32035.125,33169.41463414634
45,29270.514084507042,,31849.401459854016,31981.67469879518,32334.678260869565,31061.462068965517,30854.46511627907,30591.765625,32067.0796460177,33203.02958579882
46,29154.972027972028,,31319.53146853147,31553.802469135804,32116.14912280702,30802.859060402683,30683.022471910113,30505.8984375,31772.28695652174,33062.84939759036
47,29091.153846153848,,31671.264285714286,31860.463414634145,32266.94690265487,30931.696551724137,30751.238095238095,30404.0703125,31898.191304347827,33036.19375
48,29106.38028169014,,31684.75,31768.89285714286,32147.51785714286,30877.82894736842,30642.67816091954,30310.328358208953,31882.254385964912,33032.664596273295
49,29030.37323943662,,31542.147887323943,31597.743902439026,32044.00925925926,30664.946666666667,30539.333333333332,30134.757575757576,31683.704347826086,32854.93292682927
50,28933.485915492958,,31506.492857142857,31672.345238095237,32104.446428571428,30684.413333333334,30606.523255813954,30259.053846153845,31632.122807017542,32757.28313253012
51,29013.75,,31607.909090909092,31689.488372093023,32219.9375,30772.23178807947,30662.906976744187,30302.674242424244,31846.763157894737,32996.4371257485
52,28957.669014084506,,31589.64285714286,31788.87951807229,32196.423423423425,30682.8940397351,30653.49411764706,30258.793893129772,31784.821428571428,32998.19254658385
53,29121.748299319726,,31674.146853146853,31736.511904761905,32265.77192982456,30849.079470198674,30682.50588235294,30285.69230769231,31883.236842105263,32999.4099378882
54,29159.776223776225,,31645.179856115108,31901.01219512195,32219.48181818182,30892.891891891893,30688.372093023256,30278.361538461537,31799.946428571428,33037.37888198758
55,29171.843971631206,,31758.833333333332,31825.035714285714,32274.061946902653,30924.845637583894,30885.470588235294,30526.100775193798,31885.410714285714,33148.66463414634
56,29186.2,,31780.96644295302,31875.59259259259,32290.194690265485,30901.175675675677,30745.023255813954,30426.565891472866,31942.166666666668,33061.25443786982
57,29196.85106382979,,31783.169014084506,31870.916666666668,32408.866071428572,30931.46357615894,30769.90588235294,30399.12213740458,31918.956521739132,33086.698113207545
58,29107.006944444445,,31609.712230215828,31913.79268292683,32281.3,30851.794701986753,30890.65,30364.66153846154,31797.681415929204,33034.4131736527
59,28983.061224489797,,31536.439716312056,31803.60975609756,32113.19298245614,30773.56375838926,30683.571428571428,30155.68702290076,31728.714285714286,32953.067901234564
60,28963.443661971833,,31496.021582733814,31529.779069767443,32019.398230088496,30618.28859060403,30454.22988505747,30137.664,31657.699115044248,32892.715189873416
61,28907.751724137932,,31448.410071942446,31435.823529411766,31916.76785714286,30559.662162162163,30518.74418604651,30127.846153846152,31615.43859649123,32779.40119760479
62,28872.680555555555,,31385.272727272728,31568.927710843374,31903.58407079646,30591.70860927152,30500.192771084337,30062.976377952757,31572.196428571428,32685.668711656443
