frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,25473.32733978792,29188.632164634146,28220.9318537859,28449.6599378882,27861.54360056259,27559.0875,27454.706181818183,26561.589495155535,28672.173276388043,29250.6809063893
1,25493.466911764706,29209.184146341464,28240.18591916558,28454.10290530051,27850.04991212654,27570.402718168814,27460.413328477785,26560.683138054,28686.570293398534,29268.284704131
2,25505.036697247706,29204.487042682926,28243.162359697206,28448.620674356698,27857.8557861414,27571.666904676902,27462.73925710124,26570.462519122895,28677.6452991453,29266.659217877095
3,25490.09655172414,29193.41036585366,28240.99296508598,28448.733200266135,27854.79571026723,27582.29142857143,27474.602040816328,26563.27981651376,28666.35823637477,29257.20856610801
4,25494.634022988506,29188.243292682928,28231.749151657532,28445.69889135255,27857.513190291946,27556.62486602358,27466.43299344501,26542.16156982671,28673.227272727272,29265.386101820885
5,25519.358455882353,29214.25320121951,28256.829992189534,28467.05103172842,27871.046126760564,27575.70800571837,27504.557902403496,26569.11830698623,28700.52847519902,29275.693794128576
6,25523.057037718492,29227.82881097561,28261.144644253323,28475.817113722012,27877.867090844822,27609.719028918244,27489.570284049525,26583.254081632655,28703.383628588883,29297.083115915022
7,25546.19926369075,29250.899542682928,28284.10538641686,28490.39171833481,27897.678282294968,27622.66499821237,27505.310633648944,26596.061734693878,28718.872235872237,29303.168220813128
8,25551.761598530087,29256.559451219513,28296.28388613215,28505.327494456764,27913.90800140994,27630.531406138474,27524.81354697742,26610.894495412846,28744.337202199145,29321.954545454544
9,25566.904260192397,29267.98719512195,28314.956521739132,28522.638642413487,27922.057827926656,27624.602857142858,27536.455207574654,26619.369820971868,28762.565058032986,29336.885544407283
10,25591.11131554738,29287.520579268294,28324.99244398124,28546.633599644916,27932.12570621469,27659.400284900286,27561.974845060155,26632.18372569089,28743.51561543172,29363.882330967503
11,25591.395518975765,29303.59237804878,28361.768029159073,28561.081818181818,27957.81658468025,27675.21033868093,27558.51695224207,26669.892473118278,28780.384004884007,29380.957835820896
12,25609.518110958277,29318.590701219513,28347.101822916666,28578.628154050464,27980.827065026362,27681.966059306895,27578.674781976744,26684.03418367347,28802.68795620438,29392.02640386761
