frame,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10
0,4273.781503749495,,4433.262590658545,4142.991747505061,5004.376042294556,4262.980067567565,4182.9879358288745,4650.991900193301,4213.690359975597,4600.644093610696
1,4284.692810457516,,4509.646248666588,4214.522094699489,4963.625763549135,4169.347281831186,4084.8900423087325,4719.151507615294,4145.934131380225,4631.642568596268
2,4341.4285805300715,,4391.38309484825,4199.795055980379,4934.976072265679,4317.918129336704,4132.541641775166,4636.646008008887,4169.237583737584,4565.400662362423
3,4271.202059386971,,4456.999892056876,4113.528163370229,5059.32928973277,4151.620733590735,4157.782574568289,4716.649870986239,4188.322798107991,4583.907998309169
4,4259.955018107383,,4411.229869321491,4095.1286948543457,5020.778845106288,4351.589899077091,4189.522062734766,4698.618733203595,4168.187981510018,4673.508308117001
5,4336.531199290061,,4557.075117299519,4079.9267460493575,5086.313522362245,4246.225327614964,4082.0600751245947,4655.827429447876,4232.118583624513,4566.256516430429
6,4305.463232551778,,4420.131951491356,4203.182886277988,5052.8278244094145,4300.934032306246,4172.50836763587,4716.199764521192,4214.9261059243945,4688.721617812789
7,4335.523709282224,,4490.968687657212,4203.571244628154,5088.231627614943,4310.659505098887,4189.307343879147,4804.607496075354,4265.4302851361645,4566.08324117518
8,4412.04121837132,,4352.640251798883,4227.29319519841,5013.186015684074,4320.242566464265,4157.71454291022,4773.996129587154,4040.7856048183967,4645.271645021647
9,4426.4338693040045,,4520.525230085685,4182.020181115924,4948.875505406679,4262.255250965249,4255.21538066064,4669.294301165537,4212.820906879297,4683.92812018899
10,4369.012822383655,,4474.529614842293,4188.32042334359,5029.0742937853065,4303.12674212674,4191.684245848937,4719.376880369717,4141.72808204727,4652.0825813132
11,4425.2447687940185,,4474.129781059906,4248.59288061336,5128.464117074138,4392.15020553676,4278.198956848839,4683.881962971947,4231.949328449329,4630.923116560058
12,4429.763579182567,,4439.10832201087,4283.022448359174,5131.86858714755,4312.752061498475,4285.421603565424,4811.419662480377,4234.070972367048,4617.304884475947
13,4416.434484707213,,4365.012210337198,4342.773430879919,5079.885810802476,4311.288593861525,4308.9609906490805,4684.373422936005,4174.808897506042,4689.277433397139
14,4407.85973989878,,4392.825158192514,4232.178249882771,5092.198966264656,4320.1603911603925,4251.941508136413,4703.985472229018,4241.141329579557,4603.088520146841
15,4414.029667302391,,4439.899037590578,4268.581673554276,5093.163054332948,4377.246708129391,4230.621228644126,4730.233018719522,4135.063190287499,4698.721402362986
16,4467.792599490422,,4451.314213386362,4279.921900224748,5236.46192326372,4337.228354883544,4377.419029443838,4739.833704925713,4136.55595517164,4752.296732867031
17,4422.358149509804,,4431.034609287795,4292.270833992221,5121.225883075476,4264.095760501808,4318.687671592128,4767.478071457241,4162.077369765819,4680.301718053495
18,4431.312765114919,,4412.995739577571,4311.782849885283,5173.841159313823,4276.427052105639,4254.497070304507,4775.642903023658,4181.993422383053,4729.949214990789
19,4369.331125911351,,4429.26278484067,4168.1610061931315,5162.879804190281,4274.690920770878,4224.122619481939,4755.867412658699,4254.968825501572,4703.357968568529
